time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:26:40.412583,20,"(1, 1, 1, 1)","(10.0115966796875, 13.499862670898438, 14.406262397766113, 25.923948287963867)","(0.05311570689082146, -0.18072763085365295, -0.04928063601255417, 0.15551204979419708)","(-0.17094820737838745, 0.04381566494703293, 0.17459151148796082, -0.0683601051568985)","(0.0, 0.0, 0.0, 0.0)","(-25.415815353393555, -28.614154815673828, -40.998565673828125, -11.301004409790039)","(-19.217504501342773, -35.813472747802734, -33.79924774169922, -16.501358032226562)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.2154606729745865)","(0.00045777764171361923, 0.0035096285864710808, 0.00946073792874813, 0.002288888208568096)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 1.5259254723787308e-05)","(36.29999923706055, 25.799999237060547, 20.799999237060547, 27.299999237060547)"
2023/08/08/18:26:40.464025,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.322397232055664, 9.21506404876709, 10.121463775634766, 11.755729675292969, 12.071596145629883, 13.422040939331055, 14.841151237487793, 15.541550636291504, 16.818750381469727, 18.146305084228516, 19.048128128051758, 20.078126907348633, 21.12186050415039, 22.16559410095215, 23.255104064941406, 25.090791702270508, 26.038393020629883, 28.19452476501465, 28.981903076171875, 29.81963539123535)","(-0.5481272339820862, -0.8471667170524597, 0.05417035147547722, -0.05091053992509842, 0.033173348754644394, -0.272289901971817, -1.083694577217102, -1.0537810325622559, -0.8998989462852478, -0.8282790184020996, -0.7845592498779297, -0.6811082363128662, -0.715336263179779, -0.5934769511222839, -0.5766026377677917, 0.4227204918861389, -0.2949168086051941, -0.47420626878738403, 0.24314337968826294, -0.4240627586841583)","(0.18695960938930511, -0.044774431735277176, 0.8651915788650513, -0.8600142002105713, 0.8408389091491699, 0.451867014169693, -0.17938534915447235, -0.1659626066684723, -0.07823541015386581, -0.030680552124977112, -0.0013422741321846843, 0.07363332808017731, 0.04726722463965416, 0.14822541177272797, 0.16241517663002014, -0.30057352781295776, 0.42866483330726624, 0.25225165486335754, -0.48542386293411255, 0.29980650544166565)","(0.004577776417136192, 0.009155552834272385, 0.0, 0.0, 0.02288888208568096, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, -0.02288888208568096, 0.009155552834272385, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, -0.004577776417136192, 0.013733329251408577)","(-28.89492416381836, -24.67726707458496, -21.680349349975586, -39.48484802246094, -40.711692810058594, -34.04949951171875, 2.243110418319702, -5.163731575012207, -9.027375221252441, -13.049715042114258, -13.99578857421875, -8.755760192871094, -12.311166763305664, -14.465773582458496, -6.286812782287598, 28.073976516723633, 10.522782325744629, -7.22373104095459, -21.527755737304688, -17.029327392578125)","(-36.097293853759766, -41.877498626708984, -3.079317569732666, -21.884822845458984, -24.112674713134766, -29.850154876708984, -24.353771209716797, -30.762657165527344, -28.827783584594727, -29.850154876708984, -28.595844268798828, -18.555253982543945, -23.511459350585938, -22.86751937866211, -13.684499740600586, 25.672170639038086, 13.12295913696289, -11.822870254516602, -15.927610397338867, -19.229713439941406)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.16891995072364807, 0.037690360099077225, 0.037690360099077225, 0.05081331729888916, 0.027924437075853348, 0.037690360099077225, 0.09277626872062683, 0.006256294436752796, 0.037690360099077225, 0.015259254723787308, 0.037690360099077225, 0.027924437075853348, 0.037690360099077225, 0.001831110566854477, 0.05081331729888916, 0.09277626872062683)","(0.017242958769202232, 0.021668141707777977, 0.017242958769202232, 0.027314066886901855, 0.03433332219719887, 0.019379254430532455, 0.019379254430532455, 0.021668141707777977, 0.017242958769202232, 0.019379254430532455, 0.027314066886901855, 0.009765923023223877, 0.019379254430532455, 0.013733329251408577, 0.019379254430532455, 0.017242958769202232, 0.019379254430532455, 0.006103701889514923, 0.021668141707777977, 0.027314066886901855)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 0.00013733329251408577, 4.577776417136192e-05, 0.00022888882085680962, 0.0002441480755805969, 0.00010681478306651115, 0.00010681478306651115, 0.0001831110566854477, 1.5259254723787308e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 4.577776417136192e-05, 4.577776417136192e-05, 0.0, 6.103701889514923e-05, 0.00010681478306651115)","(21.600000381469727, 19.0, 21.799999237060547, 17.100000381469727, 15.600000381469727, 20.399999618530273, 20.5, 19.600000381469727, 21.299999237060547, 20.100000381469727, 18.0, 26.299999237060547, 20.0, 23.100000381469727, 20.700000762939453, 21.200000762939453, 20.700000762939453, 30.399999618530273, 19.399999618530273, 18.0)"
2023/08/08/18:26:40.502724,20,"(1, 1, 1, 1)","(10.0115966796875, 13.499862670898438, 14.35590648651123, 25.919370651245117)","(0.05321158096194267, -0.17938534915447235, -0.04822599142789841, 0.15551204979419708)","(-0.17085231840610504, 0.04487030580639839, 0.17564615607261658, -0.0683601051568985)","(0.0, 0.0, 0.0, 0.0)","(-25.34256935119629, -28.1807918548584, -40.711692810058594, -11.380352020263672)","(-19.14120864868164, -35.38010787963867, -33.51237487792969, -16.580705642700195)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.23361918330192566)","(0.00030518509447574615, 0.0025940733030438423, 0.008697775192558765, 0.0025940733030438423)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 1.5259254723787308e-05)","(36.5, 26.100000381469727, 20.600000381469727, 27.0)"
2023/08/08/18:26:40.534201,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34528636932373, 9.237953186035156, 10.121463775634766, 11.9159517288208, 13.426618576049805, 14.854884147644043, 15.541550636291504, 16.772972106933594, 18.471328735351562, 18.89248275756836, 20.142215728759766, 21.250038146972656, 22.1976375579834, 23.351238250732422, 25.090791702270508, 26.038393020629883, 27.98394775390625, 28.981903076171875, 29.714345932006836)","(-0.5464014410972595, -0.8513852953910828, 0.054266225546598434, -0.06653844565153122, -0.2714270055294037, -1.0785173177719116, -1.067012071609497, -0.8919411897659302, -0.7377713918685913, -0.8450574278831482, -0.6783278584480286, -0.625403881072998, -0.3014364242553711, -0.5671108365058899, 0.4227204918861389, -0.2949168086051941, -0.46442684531211853, -0.4478401839733124, -0.44582676887512207)","(0.18849363923072815, -0.04707547277212143, 0.8653833270072937, 0.6974073052406311, 0.45340102910995483, -0.17746782302856445, -0.17219460010528564, -0.07324981689453125, 0.030392922461032867, -0.04285689443349838, 0.07583849132061005, 0.11946240067481995, 0.42176172137260437, 0.17104408144950867, -0.30047765374183655, 0.42876070737838745, 0.26135995984077454, 0.2761249542236328, 0.2780424952507019)","(0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, -0.013733329251408577, 0.009155552834272385, 0.0, 0.009155552834272385, -0.009155552834272385, 0.0, 0.0, 0.0, 0.0, 0.01831110566854477, 0.004577776417136192)","(-29.371013641357422, -24.625385284423828, -21.665090560913086, -39.13083267211914, -35.5845832824707, 0.8789330720901489, -5.21256160736084, -8.142338752746582, -15.948972702026367, -15.466780662536621, -9.546189308166504, -13.480025291442871, -24.26221466064453, -5.691701889038086, 28.0098876953125, 10.650959968566895, -7.5838494300842285, -15.20737361907959, -14.508499145507812)","(-36.57338333129883, -41.825618743896484, -3.064058303833008, -28.333383560180664, -31.382183074951172, -25.717947006225586, -31.211278915405273, -27.54295539855957, -27.948850631713867, -32.46559143066406, -19.14731216430664, -22.479934692382812, -22.26020050048828, -12.891018867492676, 25.608081817626953, 13.248085021972656, -11.584826469421387, -18.607135772705078, -17.908262252807617)","(0.027924437075853348, 0.037690360099077225, 0.027924437075853348, 0.09277626872062683, 0.06866664439439774, 0.037690360099077225, 0.05081331729888916, 0.027924437075853348, 0.037690360099077225, 0.09277626872062683, 0.006256294436752796, 0.06866664439439774, 0.16891995072364807, 0.027924437075853348, 0.027924437075853348, 0.037690360099077225, 0.001831110566854477, 0.02075258642435074, 0.027924437075853348)","(0.01907406933605671, 0.02136295661330223, 0.01907406933605671, 0.03006073273718357, 0.02685628831386566, 0.02136295661330223, 0.023957030847668648, 0.01907406933605671, 0.02136295661330223, 0.03006073273718357, 0.010681478306651115, 0.02685628831386566, 0.03784295171499252, 0.01907406933605671, 0.01907406933605671, 0.02136295661330223, 0.006714072078466415, 0.016937773674726486, 0.01907406933605671)","(6.103701889514923e-05, 0.00010681478306651115, 4.577776417136192e-05, 9.155552834272385e-05, 7.629627361893654e-05, 0.0002136295661330223, 0.00025940733030438423, 0.00010681478306651115, 9.155552834272385e-05, 0.0002136295661330223, 1.5259254723787308e-05, 0.00010681478306651115, 0.00015259254723787308, 6.103701889514923e-05, 4.577776417136192e-05, 4.577776417136192e-05, 0.0, 4.577776417136192e-05, 4.577776417136192e-05)","(21.799999237060547, 20.200000762939453, 21.600000381469727, 17.700000762939453, 18.5, 20.200000762939453, 19.600000381469727, 21.899999618530273, 20.5, 17.100000381469727, 26.700000762939453, 18.299999237060547, 16.0, 21.399999618530273, 21.299999237060547, 20.899999618530273, 30.899999618530273, 22.700000762939453, 21.5)"
2023/08/08/18:26:40.572740,20,"(1, 1, 1, 1)","(10.029908180236816, 13.499862670898438, 14.360485076904297, 25.928525924682617)","(0.053499214351177216, -0.1790977269411087, -0.048993006348609924, 0.1556079238653183)","(-0.1706605702638626, 0.045157939195632935, 0.17487914860248566, -0.06826423108577728)","(0.0, 0.0, 0.0, 0.0)","(-25.33951759338379, -28.45850944519043, -40.791038513183594, -11.358988761901855)","(-19.13815689086914, -35.6578254699707, -33.59172439575195, -16.559343338012695)","(0.09582812339067459, 0.23361918330192566, 0.3801080286502838, 0.2154606729745865)","(0.00030518509447574615, 0.0024414807558059692, 0.0079348124563694, 0.00198370311409235)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 1.5259254723787308e-05)","(36.5, 26.0, 20.700000762939453, 27.100000381469727)"
2023/08/08/18:26:40.613957,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.265419006347656, 10.112308502197266, 11.751152038574219, 13.385417938232422, 14.754173278808594, 15.541550636291504, 16.539506912231445, 17.8212833404541, 18.590349197387695, 20.25666046142578, 21.419416427612305, 22.18390464782715, 23.29630470275879, 25.090791702270508, 26.038393020629883, 28.327280044555664, 28.981903076171875)","(-0.5488942265510559, -0.861068844795227, 0.05445798113942146, -0.06107347458600998, -0.26605790853500366, -0.17823483049869537, -1.0501377582550049, -0.8891607522964478, -0.8344151377677917, -0.7287589907646179, -0.6793825030326843, -0.6254997253417969, -0.6094883680343628, -0.5799583196640015, 0.4227204918861389, -0.2950126826763153, 0.212175190448761, -0.4459226429462433)","(0.1861926019191742, -0.05158167704939842, 0.8655750751495361, -0.8757380247116089, 0.45944127440452576, -1.081297755241394, -0.16375744342803955, -0.07142815738916397, -0.03537851199507713, 0.037008415907621384, 0.0748797208070755, 0.11936651915311813, 0.1335562765598297, 0.15992237627506256, -0.30057352781295776, 0.42866483330726624, 1.1564650535583496, 0.2779466211795807)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013733329251408577, 0.0, 0.0, 0.02288888208568096, 0.009155552834272385, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0)","(-28.922391891479492, -23.917356491088867, -21.619312286376953, -39.13693618774414, -36.64357376098633, -25.434125900268555, -8.166752815246582, -8.377330780029297, -14.120914459228516, -15.945920944213867, -8.542130470275879, -17.31925392150879, -12.073122024536133, -5.83513879776001, 28.031251907348633, 10.522782325744629, -15.64684009552002, -13.8950777053833)","(-36.121707916259766, -41.51737976074219, -3.018280506134033, -20.935697555541992, -32.24280548095703, 1.3641773462295532, -33.96710205078125, -27.77794647216797, -31.12277603149414, -27.54600715637207, -18.143253326416016, -26.319162368774414, -20.87466049194336, -13.434247970581055, 25.629444122314453, 13.12295913696289, 11.951047897338867, -17.29789161682129)","(0.037690360099077225, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.09277626872062683, 0.027924437075853348, 0.09277626872062683, 0.06866664439439774, 0.004577776417136192, 0.12512588500976562, 0.015259254723787308, 0.027924437075853348, 0.027924437075853348, 0.037690360099077225, 0.006256294436752796, 0.02075258642435074)","(0.01754814386367798, 0.0196844395250082, 0.015564439818263054, 0.02212592028081417, 0.0277718435972929, 0.01754814386367798, 0.02471999265253544, 0.015564439818263054, 0.02471999265253544, 0.02212592028081417, 0.007782219909131527, 0.0277718435972929, 0.01235999632626772, 0.015564439818263054, 0.015564439818263054, 0.01754814386367798, 0.008850367739796638, 0.01388592179864645)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 7.629627361893654e-05, 0.00012207403779029846, 4.577776417136192e-05, 0.0003814813680946827, 0.00010681478306651115, 0.000198370311409235, 0.00013733329251408577, 1.5259254723787308e-05, 0.00016785180196166039, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 4.577776417136192e-05)","(20.799999237060547, 19.600000381469727, 21.799999237060547, 18.100000381469727, 16.700000762939453, 20.200000762939453, 17.600000381469727, 21.299999237060547, 17.299999237060547, 18.899999618530273, 27.200000762939453, 16.799999237060547, 23.399999618530273, 21.299999237060547, 21.299999237060547, 20.799999237060547, 26.600000381469727, 23.0)"
2023/08/08/18:26:40.642856,20,"(1, 1, 1, 1)","(10.016175270080566, 13.499862670898438, 14.232306480407715, 25.910215377807617)","(0.0534033365547657, -0.1804399937391281, -0.04832186922430992, 0.15512853860855103)","(-0.17075644433498383, 0.04410329461097717, 0.17555028200149536, -0.06855186074972153)","(0.0, 0.004577776417136192, 0.0, 0.0)","(-25.440229415893555, -28.42188835144043, -40.3851432800293, -11.459700584411621)","(-19.238868713378906, -35.6212043762207, -33.18582534790039, -16.66005516052246)","(0.10391552746295929, 0.23361918330192566, 0.3505050837993622, 0.2154606729745865)","(0.00045777764171361923, 0.0028992583975195885, 0.007782219909131527, 0.002288888208568096)","(0.0, 1.5259254723787308e-05, 9.155552834272385e-05, 1.5259254723787308e-05)","(36.5, 26.100000381469727, 21.299999237060547, 27.100000381469727)"
2023/08/08/18:26:40.684302,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33613109588623, 10.121463775634766, 11.741996765136719, 12.1082181930542, 13.335062980651855, 14.76790714263916, 15.541550636291504, 16.68599510192871, 18.2149715423584, 18.507949829101562, 20.26581573486328, 20.998260498046875, 22.371593475341797, 23.488571166992188, 25.09537124633789, 26.038393020629883, 28.043458938598633, 29.036836624145508)","(-0.551099419593811, 0.054074473679065704, -0.055320870131254196, 0.036624908447265625, -0.26864659786224365, -1.084941029548645, -1.0339345932006836, -0.8902153968811035, -0.8115964531898499, 0.4121740460395813, -0.6783278584480286, -0.6444833278656006, -0.6124604940414429, -0.5646180510520935, 0.4227204918861389, -0.2962590754032135, -0.4816846549510956, -0.42952772974967957)","(0.1843709498643875, 0.8649998307228088, -0.8668214678764343, -0.7293342351913452, 0.4563732147216797, -0.17996060848236084, -0.1542656570672989, -0.07219517230987549, -0.018312454223632812, -0.31016120314598083, 0.07583849132061005, 0.10277985036373138, 0.13058410584926605, 0.17334511876106262, -0.30057352781295776, 0.42808958888053894, 0.24582792818546295, 0.29453331232070923)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, -0.009155552834272385, -0.009155552834272385, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0)","(-28.641620635986328, -21.695608139038086, -40.3637809753418, -40.079959869384766, -34.59883499145508, 1.928769826889038, -7.5075531005859375, -6.118961334228516, -15.164647102355957, -27.8298282623291, -6.714072227478027, -11.13620376586914, -16.290781021118164, -8.569597244262695, 28.0159912109375, 10.754722595214844, -9.613330841064453, -16.058839797973633)","(-35.840938568115234, -3.094576835632324, -22.763755798339844, -28.482925415039062, -30.399486541748047, -24.86953353881836, -31.910154342651367, -25.519577026367188, -31.165502548217773, -29.230628967285156, -16.315195083618164, -20.737327575683594, -25.29068946838379, -15.768914222717285, 25.614185333251953, 13.153477668762207, -14.813684463500977, -18.65901756286621)","(0.027924437075853348, 0.027924437075853348, 0.09277626872062683, 0.12512588500976562, 0.05081331729888916, 0.037690360099077225, 0.037690360099077225, 0.027924437075853348, 0.12512588500976562, 0.16891995072364807, 0.0033570360392332077, 0.027924437075853348, 0.027924437075853348, 0.027924437075853348, 0.027924437075853348, 0.037690360099077225, 0.006256294436752796, 0.06866664439439774)","(0.01754814386367798, 0.01754814386367798, 0.0277718435972929, 0.031128879636526108, 0.02212592028081417, 0.0196844395250082, 0.0196844395250082, 0.01754814386367798, 0.031128879636526108, 0.03494369238615036, 0.0079348124563694, 0.01754814386367798, 0.01754814386367798, 0.01754814386367798, 0.01754814386367798, 0.0196844395250082, 0.00991851557046175, 0.02471999265253544)","(6.103701889514923e-05, 4.577776417136192e-05, 9.155552834272385e-05, 0.00012207403779029846, 6.103701889514923e-05, 0.00022888882085680962, 0.0001831110566854477, 0.00010681478306651115, 0.0002441480755805969, 0.00016785180196166039, 1.5259254723787308e-05, 6.103701889514923e-05, 6.103701889514923e-05, 6.103701889514923e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 9.155552834272385e-05)","(21.899999618530273, 21.799999237060547, 17.200000762939453, 16.299999237060547, 19.200000762939453, 20.600000381469727, 20.100000381469727, 22.0, 16.899999618530273, 15.0, 28.299999237060547, 21.200000762939453, 21.100000381469727, 21.399999618530273, 21.299999237060547, 20.600000381469727, 26.100000381469727, 18.399999618530273)"
2023/08/08/18:26:40.723260,20,"(1, 1, 1, 1)","(10.0115966796875, 13.499862670898438, 14.33759593963623, 25.928525924682617)","(0.053499214351177216, -0.1790018528699875, -0.050239402800798416, 0.1550326645374298)","(-0.1706605702638626, 0.04525381326675415, 0.17372862994670868, -0.06864773482084274)","(0.0, 0.0, 0.0, 0.0)","(-25.409711837768555, -28.1594295501709, -40.56825637817383, -11.21555233001709)","(-19.211400985717773, -35.36179733276367, -33.36893844604492, -16.41285514831543)","(0.10391552746295929, 0.23361918330192566, 0.3505050837993622, 0.23361918330192566)","(0.00030518509447574615, 0.0025940733030438423, 0.0070192571729421616, 0.0025940733030438423)","(0.0, 1.5259254723787308e-05, 9.155552834272385e-05, 1.5259254723787308e-05)","(36.5, 26.200000762939453, 21.700000762939453, 26.899999618530273)"
2023/08/08/18:26:40.765026,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.20590877532959, 10.116886138916016, 11.737419128417969, 13.403729438781738, 14.722128868103027, 16.68141746520996, 17.496261596679688, 18.370616912841797, 18.85128402709961, 20.059816360473633, 21.405681610107422, 22.1701717376709, 23.076570510864258, 23.941770553588867, 25.09537124633789, 26.038393020629883, 28.336435317993164, 29.677724838256836)","(-0.549469530582428, -0.8592472076416016, 0.05397859588265419, -0.06193636357784271, -0.2735362946987152, -1.0845575332641602, -0.887818455696106, -0.7725746631622314, -0.7492765784263611, -0.8419893980026245, -0.6750680208206177, -0.7107341885566711, -0.6385390162467957, -0.5856150388717651, -0.5416076183319092, 0.4226246178150177, -0.29472506046295166, 0.24141758680343628, -0.4318287670612335)","(0.1856173425912857, -0.05033528059720993, 0.8649998307228088, -0.8770802617073059, 0.4505247175693512, -0.1797688603401184, -0.07066114991903305, 0.006519617512822151, -0.3368149399757385, -0.04074760898947716, 0.07842715829610825, 0.050622910261154175, 0.10795719176530838, 0.15484091639518738, 0.19242458045482635, -0.30057352781295776, 0.42885658144950867, 1.238439679145813, 0.2929033935070038)","(0.0, 0.004577776417136192, 0.0, -0.009155552834272385, 0.0, 0.0, 0.0, 0.009155552834272385, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.01831110566854477, 0.0)","(-28.498184204101562, -24.964139938354492, -21.622364044189453, -39.35972213745117, -34.83687973022461, 1.1352885961532593, -6.308176040649414, -20.23072052001953, -16.977447509765625, -13.187047958374023, -10.42512321472168, -13.385417938232422, -10.797449111938477, -5.7344279289245605, -9.585864067077637, 28.037355422973633, 10.88595199584961, -14.951017379760742, -11.236915588378906)","(-35.70055389404297, -42.56416702270508, -3.0243842601776123, -21.158483505249023, -30.637531280517578, -25.461591720581055, -25.30594825744629, -34.03118896484375, -25.376140594482422, -30.18585777282715, -19.8248233795166, -24.585710525512695, -20.398571014404297, -13.733328819274902, -16.785181045532227, 26.038393020629883, 13.486129760742188, 15.845210075378418, -13.837092399597168)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.06866664439439774, 0.037690360099077225, 0.02075258642435074, 0.16891995072364807, 0.05081331729888916, 0.06866664439439774, 0.004577776417136192, 0.037690360099077225, 0.015259254723787308, 0.0013733329251408577, 0.037690360099077225, 0.027924437075853348, 0.037690360099077225, 0.00839259009808302, 0.05081331729888916)","(0.019379254430532455, 0.024262215942144394, 0.019379254430532455, 0.030518509447574615, 0.027314066886901855, 0.021668141707777977, 0.017242958769202232, 0.038453321903944016, 0.024262215942144394, 0.027314066886901855, 0.009765923023223877, 0.021668141707777977, 0.01541184727102518, 0.006103701889514923, 0.021668141707777977, 0.019379254430532455, 0.021668141707777977, 0.012207403779029846, 0.024262215942144394)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 7.629627361893654e-05, 0.00022888882085680962, 7.629627361893654e-05, 0.00027466658502817154, 0.00010681478306651115, 0.00016785180196166039, 1.5259254723787308e-05, 9.155552834272385e-05, 4.577776417136192e-05, 0.0, 6.103701889514923e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.399999618530273, 19.0, 21.600000381469727, 17.799999237060547, 18.100000381469727, 20.399999618530273, 22.5, 15.800000190734863, 19.299999237060547, 18.399999618530273, 27.0, 20.200000762939453, 23.299999237060547, 31.600000381469727, 20.399999618530273, 21.200000762939453, 20.5, 25.100000381469727, 19.0)"
2023/08/08/18:26:40.792734,20,"(1, 1, 1, 1)","(10.025330543518066, 13.499862670898438, 14.34675121307373, 25.946836471557617)","(0.05301982909440994, -0.1803441196680069, -0.04937651380896568, 0.15541617572307587)","(-0.17104408144950867, 0.0442950464785099, 0.1744956374168396, -0.06845597922801971)","(0.0, 0.0, 0.0, 0.0)","(-25.415815353393555, -28.1594295501709, -40.4187126159668, -11.310159683227539)","(-19.214452743530273, -35.35874557495117, -33.219398498535156, -16.510513305664062)","(0.10391552746295929, 0.2534562349319458, 0.3505050837993622, 0.2154606729745865)","(0.00030518509447574615, 0.0028992583975195885, 0.006408886983990669, 0.00198370311409235)","(0.0, 3.0518509447574615e-05, 9.155552834272385e-05, 1.5259254723787308e-05)","(36.400001525878906, 25.600000381469727, 21.399999618530273, 27.399999618530273)"
2023/08/08/18:26:40.844005,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.322397232055664, 9.256263732910156, 10.116886138916016, 11.705374717712402, 13.367107391357422, 14.722128868103027, 16.740928649902344, 18.347728729248047, 20.27039337158203, 20.998260498046875, 22.367015838623047, 23.264259338378906, 25.086214065551758, 26.038393020629883, 28.308969497680664, 28.981903076171875, 29.659414291381836)","(-0.5499488711357117, -0.8626028895378113, 0.054074473679065704, -0.05800541862845421, -0.27507030963897705, -1.0832152366638184, -0.8843669295310974, -0.8596307039260864, -0.6750680208206177, -0.6426616907119751, -0.6154326796531677, -0.5815882086753845, 0.4227204918861389, -0.29472506046295166, 0.23393921554088593, -0.4289524555206299, -0.4272266924381256)","(0.18523383140563965, -0.05254044383764267, 0.8649998307228088, -0.8709441423416138, 0.44889482855796814, -0.17919360101222992, -0.0683601051568985, -0.050622910261154175, 0.07842715829610825, 0.10431388020515442, 0.12809130549430847, 0.15858010947704315, -0.30047765374183655, 0.4289524555206299, -0.49529916048049927, 0.2956838309764862, 0.2974095940589905)","(0.0, 0.009155552834272385, 0.0, 0.013733329251408577, -0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.02288888208568096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192)","(-28.922391891479492, -23.709829330444336, -21.76885223388672, -39.6221809387207, -35.15121841430664, 0.7782219648361206, -7.681509017944336, -12.359996795654297, -9.56450080871582, -15.359966278076172, -13.794365882873535, -5.194250106811523, 28.049562454223633, 10.516678810119629, -13.55327033996582, -15.042572975158691, -13.64787769317627)","(-36.121707916259766, -41.309852600097656, -3.167821168899536, -22.02520751953125, -31.15329360961914, -25.81865882873535, -26.480911254882812, -29.960020065307617, -18.964200973510742, -24.958036422729492, -22.794275283813477, -12.79335880279541, 25.650806427001953, 13.11685562133789, -7.953123569488525, -17.642749786376953, -16.049684524536133)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.09277626872062683, 0.06866664439439774, 0.037690360099077225, 0.027924437075853348, 0.09277626872062683, 0.004577776417136192, 0.05081331729888916, 0.027924437075853348, 0.027924437075853348, 0.027924437075853348, 0.037690360099077225, 0.006256294436752796, 0.05081331729888916, 0.09277626872062683)","(0.016022218391299248, 0.022583696991205215, 0.016022218391299248, 0.02533036284148693, 0.022583696991205215, 0.017853328958153725, 0.016022218391299248, 0.02533036284148693, 0.008087405003607273, 0.020142216235399246, 0.016022218391299248, 0.016022218391299248, 0.016022218391299248, 0.017853328958153725, 0.009002960287034512, 0.020142216235399246, 0.02533036284148693)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 9.155552834272385e-05, 7.629627361893654e-05, 0.00022888882085680962, 9.155552834272385e-05, 0.0002136295661330223, 1.5259254723787308e-05, 9.155552834272385e-05, 6.103701889514923e-05, 6.103701889514923e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 0.00010681478306651115)","(21.5, 18.899999618530273, 21.700000762939453, 17.700000762939453, 18.200000762939453, 20.5, 21.299999237060547, 17.899999618530273, 27.700000762939453, 19.299999237060547, 21.799999237060547, 21.899999618530273, 21.299999237060547, 20.600000381469727, 26.200000762939453, 19.600000381469727, 17.5)"
2023/08/08/18:26:40.873440,20,"(1, 1, 1, 1)","(10.020752906799316, 13.499862670898438, 14.32844066619873, 25.910215377807617)","(0.05311570689082146, -0.17928947508335114, -0.048801254481077194, 0.15484091639518738)","(-0.17094820737838745, 0.044966183602809906, 0.1750708967447281, -0.06874360889196396)","(0.0, 0.0, 0.004577776417136192, 0.0)","(-25.498214721679688, -28.391368865966797, -40.086063385009766, -11.499374389648438)","(-19.29990577697754, -35.5906867980957, -32.88674545288086, -16.498306274414062)","(0.10391552746295929, 0.2534562349319458, 0.3505050837993622, 0.2154606729745865)","(0.00045777764171361923, 0.0035096285864710808, 0.007629627361893654, 0.002288888208568096)","(0.0, 3.0518509447574615e-05, 9.155552834272385e-05, 1.5259254723787308e-05)","(36.5, 25.899999618530273, 21.299999237060547, 27.100000381469727)"
