time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:08:11.938619,20,"(1, 1, 1, 1)","(14.159062385559082, 13.737907409667969, 26.473281860351562, 27.951902389526367)","(-0.12080467492341995, 0.20862776041030884, -0.04055585339665413, -0.1393088847398758)","(0.1022045910358429, -0.016107289120554924, 0.18379567563533783, 0.08417976647615433)","(0.0, 0.0, 0.0, 0.013733329251408577)","(8.478041648864746, 13.055818557739258, -32.175662994384766, -33.39945602416992)","(7.876827239990234, 2.2553179264068604, -23.975341796875, -36.3994255065918)","(0.27481916546821594, 0.143742173910141, 0.44694358110427856, 0.5700857639312744)","(0.003662221133708954, 0.0007629627361893654, 0.0119022186845541, 0.021820735186338425)","(3.0518509447574615e-05, 0.0, 0.00027466658502817154, 0.0008087405003607273)","(24.100000381469727, 32.900001525878906, 18.600000381469727, 15.199999809265137)"
2023/08/08/18:08:11.979177,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.35444164276123, 9.173864364624023, 10.126041412353516, 11.801507949829102, 12.135684967041016, 13.788262367248535, 14.131595611572266, 15.55070686340332, 16.562395095825195, 16.617328643798828, 17.432172775268555, 18.301950454711914, 19.11221694946289, 19.77599334716797, 20.68239402770996, 21.419416427612305, 22.742393493652344, 23.895992279052734, 25.31968116760254, 26.033815383911133, 27.30185890197754, 28.23572540283203, 29.8333683013916)","(-0.5449633002281189, -0.8615482449531555, 0.05378684401512146, -0.08063232898712158, 0.034611497074365616, 1.1523423194885254, -0.9742034077644348, -0.7239651679992676, -0.8893525004386902, 1.2913635969161987, -0.8825452327728271, -0.7671096920967102, -0.7378672957420349, -0.6443874835968018, -0.6776567101478577, -0.7030640244483948, -0.5617417097091675, -0.5501406192779541, -0.5267467498779297, -0.49453213810920715, -0.47957536578178406, 1.110444188117981, -0.41562560200691223)","(0.1895482838153839, -0.05186930671334267, 0.864616334438324, 0.6775608062744141, 0.8429481387138367, 0.21044941246509552, -0.12300983816385269, 0.04074760898947716, -0.071619912981987, 0.6548380255699158, -0.06634669750928879, 0.010738193057477474, 0.030392922461032867, 0.1028757244348526, 0.07641375064849854, 0.05675902217626572, 0.17545440793037415, 0.18513795733451843, 0.20527206361293793, 0.23461034893989563, 0.24774545431137085, 0.1906988024711609, 0.30709314346313477)","(0.0, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, -0.20142216980457306, 0.0, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, -0.009155552834272385, 0.004577776417136192, 0.009155552834272385, 0.004577776417136192, -0.009155552834272385, 0.013733329251408577, 0.0, 0.0, 0.0, 0.004577776417136192)","(-29.419843673706055, -25.080110549926758, -22.385326385498047, -37.16543960571289, -40.91921615600586, 42.85714340209961, 34.52558898925781, -8.703879356384277, -6.479079723358154, 10.162663459777832, -14.197210311889648, -13.257240295410156, -9.778130531311035, -21.262245178222656, -16.23889923095703, -21.207311630249023, -11.780144691467285, -14.0903959274292, -10.684530258178711, -10.226752281188965, -13.635669708251953, 9.152501106262207, -18.735313415527344)","(-36.61915969848633, -42.68013381958008, -3.784295082092285, -26.764732360839844, -24.118778228759766, 15.65599536895752, 12.323373794555664, -20.303964614868164, -25.879695892333984, -15.634632110595703, -32.996612548828125, -26.85934066772461, -21.77800750732422, -30.86336898803711, -25.84002113342285, -32.20618438720703, -18.778038024902344, -21.28971290588379, -17.28568458557129, -15.826898574829102, -18.836023330688477, -17.044588088989258, -20.334482192993164)","(0.027924437075853348, 0.037690360099077225, 0.027924437075853348, 0.05081331729888916, 0.12512588500976562, 0.0025940733030438423, 0.027924437075853348, 0.027924437075853348, 0.02075258642435074, 0.011291848495602608, 0.16891995072364807, 0.05081331729888916, 0.02075258642435074, 0.12512588500976562, 0.027924437075853348, 0.16891995072364807, 0.06866664439439774, 0.06866664439439774, 0.015259254723787308, 0.037690360099077225, 0.02075258642435074, 0.06866664439439774, 0.09277626872062683)","(0.0157170332968235, 0.01754814386367798, 0.0157170332968235, 0.0196844395250082, 0.0277718435972929, 0.006256294436752796, 0.0157170332968235, 0.0157170332968235, 0.014038514345884323, 0.011139255948364735, 0.031281471252441406, 0.0196844395250082, 0.014038514345884323, 0.0277718435972929, 0.0157170332968235, 0.031281471252441406, 0.02212592028081417, 0.02212592028081417, 0.012512588873505592, 0.01754814386367798, 0.014038514345884323, 0.02212592028081417, 0.024872586131095886)","(6.103701889514923e-05, 0.00012207403779029846, 4.577776417136192e-05, 6.103701889514923e-05, 0.00012207403779029846, 4.577776417136192e-05, 0.00012207403779029846, 7.629627361893654e-05, 7.629627361893654e-05, 0.00027466658502817154, 0.0003509628586471081, 0.00012207403779029846, 6.103701889514923e-05, 0.0001831110566854477, 6.103701889514923e-05, 0.0002441480755805969, 0.00010681478306651115, 0.00010681478306651115, 3.0518509447574615e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.0003814813680946827, 0.00010681478306651115)","(21.600000381469727, 20.200000762939453, 21.700000762939453, 19.700000762939453, 16.0, 29.799999237060547, 21.200000762939453, 21.5, 22.299999237060547, 24.299999237060547, 16.0, 19.5, 22.399999618530273, 16.100000381469727, 21.600000381469727, 15.699999809265137, 18.799999237060547, 18.899999618530273, 23.899999618530273, 20.0, 22.100000381469727, 18.200000762939453, 17.5)"
2023/08/08/18:08:12.008096,20,"(1, 1, 1)","(14.149907112121582, 13.737907409667969, 26.555681228637695)","(-0.12090054899454117, 0.20862776041030884, -0.04055585339665413)","(0.10210870951414108, -0.016107289120554924, 0.18379567563533783)","(0.0, 0.0, 0.009155552834272385)","(8.43531608581543, 13.046662330627441, -30.597858428955078)","(7.837153434753418, 2.2461624145507812, -22.397533416748047)","(0.27481916546821594, 0.143742173910141, 0.4121524691581726)","(0.004272591322660446, 0.0009155552834272385, 0.011597033590078354)","(3.0518509447574615e-05, 0.0, 0.000198370311409235)","(24.0, 32.70000076293945, 19.200000762939453)"
2023/08/08/18:08:12.049295,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.372753143310547, 9.269997596740723, 10.126041412353516, 11.824396133422852, 13.788262367248535, 14.131595611572266, 15.472884178161621, 16.379283905029297, 16.617328643798828, 17.638172149658203, 18.90163803100586, 19.176305770874023, 20.925016403198242, 22.756126403808594, 24.024169921875, 25.067903518676758, 26.487014770507812, 27.30185890197754, 28.25861358642578, 28.359325408935547, 29.856258392333984)","(-0.5478395819664001, -0.8631781339645386, 0.05436210334300995, -0.08341275155544281, 1.152054786682129, -0.9745869040489197, -0.7313476800918579, -0.8960638642311096, -0.8851339221000671, -0.9370990991592407, 0.040076471865177155, -0.7122681736946106, -0.6778484582901001, -0.5608788132667542, -0.5630840063095093, -0.5317323207855225, -0.49846309423446655, -0.5026816725730896, -0.14276044070720673, -0.4636598527431488, -0.43403393030166626)","(0.18724724650382996, -0.05292395129799843, 0.8654791712760925, 0.673629879951477, 0.2102576643228531, -0.12320159375667572, 0.034803252667188644, -0.07583849132061005, -0.4363349676132202, -0.09932828694581985, -0.7248280644416809, 0.04928063601255417, 0.07631787657737732, 0.1765090525150299, 0.17430388927459717, 0.2011493742465973, 0.2304876446723938, 0.22617319226264954, 0.6005718111991882, 0.26212695240974426, 0.2908899784088135)","(0.0, 0.004577776417136192, 0.0, -0.004577776417136192, 0.0, 0.0, -0.1510666161775589, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, -0.009155552834272385, 0.0, 0.004577776417136192, 0.013733329251408577, 0.004577776417136192, 0.004577776417136192, 0.0, -0.009155552834272385, 0.0)","(-28.574480056762695, -24.286630630493164, -22.400585174560547, -38.57844924926758, 42.86019515991211, 34.53474426269531, -6.042665004730225, -6.9490647315979, -4.831079959869385, -14.151432991027832, -26.89596176147461, -12.79641056060791, -18.19208335876465, -10.803552627563477, -11.160618782043457, -8.923612594604492, -10.641804695129395, -16.086305618286133, -18.539995193481445, -13.321329116821289, -15.9886474609375)","(-35.77684783935547, -41.886653900146484, -3.8026063442230225, -28.1777400970459, 15.66209888458252, 12.33558177947998, -17.642749786376953, -26.551103591918945, -19.229713439941406, -34.751426696777344, -15.295876502990723, -23.9967041015625, -27.7932071685791, -17.80449867248535, -18.15851402282715, -15.726187705993652, -16.44337272644043, -22.086244583129883, -10.141301155090332, -17.32230567932129, -18.588823318481445)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.05081331729888916, 0.0025940733030438423, 0.027924437075853348, 0.015259254723787308, 0.015259254723787308, 0.02075258642435074, 0.16891995072364807, 0.027924437075853348, 0.037690360099077225, 0.05081331729888916, 0.06866664439439774, 0.037690360099077225, 0.006256294436752796, 0.027924437075853348, 0.09277626872062683, 0.027924437075853348, 0.027924437075853348, 0.06866664439439774)","(0.017700735479593277, 0.02227851189672947, 0.017700735479593277, 0.02227851189672947, 0.0070192571729421616, 0.017700735479593277, 0.014038514345884323, 0.014038514345884323, 0.0157170332968235, 0.03509628772735596, 0.017700735479593277, 0.0198370311409235, 0.02227851189672947, 0.024872586131095886, 0.0198370311409235, 0.00991851557046175, 0.017700735479593277, 0.027924437075853348, 0.017700735479593277, 0.017700735479593277, 0.024872586131095886)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.00012207403779029846, 4.577776417136192e-05, 6.103701889514923e-05, 7.629627361893654e-05, 0.0004119998775422573, 4.577776417136192e-05, 9.155552834272385e-05, 0.00010681478306651115, 0.00010681478306651115, 6.103701889514923e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 0.00012207403779029846, 4.577776417136192e-05, 4.577776417136192e-05, 9.155552834272385e-05)","(21.600000381469727, 19.600000381469727, 21.600000381469727, 19.100000381469727, 29.899999618530273, 21.200000762939453, 23.100000381469727, 23.799999237060547, 22.100000381469727, 15.5, 21.0, 20.200000762939453, 19.600000381469727, 18.399999618530273, 20.5, 26.799999237060547, 21.600000381469727, 17.5, 21.5, 21.100000381469727, 18.5)"
2023/08/08/18:08:12.088591,20,"(1, 1, 1, 1)","(14.149907112121582, 13.742485046386719, 26.610614776611328, 28.153324127197266)","(-0.12090054899454117, 0.20872363448143005, -0.03892594948410988, -0.13317276537418365)","(0.10210870951414108, -0.016107289120554924, 0.18542557954788208, 0.09021999686956406)","(0.0, 0.0, 0.0, 0.009155552834272385)","(8.417004585266113, 13.013092041015625, -30.555131912231445, -33.46049499511719)","(7.815790176391602, 2.215643882751465, -22.15643882751465, -35.6608772277832)","(0.27481916546821594, 0.13245032727718353, 0.3801080286502838, 0.5700857639312744)","(0.003814813680946827, 0.0006103701889514923, 0.00839259009808302, 0.02288888208568096)","(3.0518509447574615e-05, 0.0, 0.00013733329251408577, 0.0008087405003607273)","(24.100000381469727, 33.0, 20.100000381469727, 15.100000381469727)"
2023/08/08/18:08:12.129534,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.368175506591797, 9.196752548217773, 10.130619049072266, 11.870174407958984, 13.788262367248535, 14.122440338134766, 15.440839767456055, 16.70430564880371, 19.240394592285156, 20.581682205200195, 20.88839340209961, 22.655414581298828, 24.051637649536133, 24.930570602416992, 25.988037109375, 26.766258239746094, 28.1991024017334)","(-0.5462096929550171, -0.04141874611377716, 0.05445798113942146, -0.07785189896821976, 1.1526299715042114, -0.9750663042068481, -0.7412229776382446, -0.8948174715042114, -0.7234857678413391, -0.664233922958374, -0.660302996635437, -0.5874366760253906, -0.5663438439369202, -0.5227199196815491, -0.515912652015686, -0.4851362407207489, -0.45359277725219727)","(0.18858951330184937, -0.8430440425872803, 0.8656709790229797, 0.6811082363128662, 0.21054528653621674, -0.12348922342061996, 0.028475387021899223, -0.07507147639989853, 0.041131116449832916, 0.08648080378770828, 0.08964473754167557, 0.15340276062488556, 0.17171521484851837, 0.20872363448143005, 0.214859738945961, 0.2434310019016266, 0.2714270055294037)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, -0.1419110745191574, 0.0, 0.0, 0.0, 0.0, -0.009155552834272385, 0.0, -0.004577776417136192, 0.0, 0.0, 0.0)","(-28.534807205200195, -42.63740921020508, -22.46772575378418, -38.52656555175781, 42.81441879272461, 34.60493850708008, -3.909420967102051, -4.318368911743164, -13.715018272399902, -14.725180625915527, -11.951047897338867, -8.581805229187012, -13.095492362976074, -10.129093170166016, -11.096529960632324, -11.890010833740234, -11.890010833740234)","(-35.73412322998047, -25.638599395751953, -3.8697469234466553, -27.924436569213867, 15.616321563720703, 12.405774116516113, -15.90929889678955, -23.920408248901367, -25.31510353088379, -24.326303482055664, -21.55217170715332, -16.583757400512695, -20.294809341430664, -16.730247497558594, -17.29789161682129, -17.490158081054688, -15.692617416381836)","(0.02075258642435074, 0.06866664439439774, 0.027924437075853348, 0.06866664439439774, 0.0025940733030438423, 0.027924437075853348, 0.011291848495602608, 0.011291848495602608, 0.027924437075853348, 0.02075258642435074, 0.00839259009808302, 0.011291848495602608, 0.05081331729888916, 0.015259254723787308, 0.037690360099077225, 0.06866664439439774, 0.011291848495602608)","(0.017242958769202232, 0.027314066886901855, 0.019379254430532455, 0.027314066886901855, 0.007782219909131527, 0.019379254430532455, 0.013733329251408577, 0.013733329251408577, 0.019379254430532455, 0.017242958769202232, 0.012207403779029846, 0.013733329251408577, 0.024262215942144394, 0.01541184727102518, 0.021668141707777977, 0.027314066886901855, 0.013733329251408577)","(4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 0.00012207403779029846, 4.577776417136192e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 9.155552834272385e-05, 3.0518509447574615e-05)","(22.0, 19.0, 21.5, 18.5, 29.899999618530273, 21.200000762939453, 24.100000381469727, 24.5, 21.299999237060547, 22.5, 25.700000762939453, 24.200000762939453, 19.600000381469727, 23.600000381469727, 21.0, 18.899999618530273, 24.899999618530273)"
2023/08/08/18:08:12.158218,20,"(1, 1, 1)","(14.159062385559082, 13.747062683105469, 26.68385887145996)","(-0.12099643051624298, 0.20881950855255127, -0.04074760898947716)","(0.10201283544301987, -0.015915537253022194, 0.1836039274930954)","(0.0, 0.0, 0.0)","(8.395642280578613, 13.010040283203125, -30.289621353149414)","(7.794427394866943, 2.2125918865203857, -22.089296340942383)","(0.29801324009895325, 0.143742173910141, 0.3801080286502838)","(0.004272591322660446, 0.0007629627361893654, 0.0079348124563694)","(4.577776417136192e-05, 0.0, 0.00013733329251408577)","(24.0, 32.79999923706055, 20.299999237060547)"
2023/08/08/18:08:12.209419,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.35444164276123, 9.173864364624023, 10.126041412353516, 11.796930313110352, 13.788262367248535, 14.127017974853516, 15.436262130737305, 15.482039451599121, 15.454573631286621, 15.536972999572754, 16.626483917236328, 18.24243927001953, 19.31821632385254, 20.1605281829834, 20.943326950073242, 22.641681671142578, 23.900569915771484, 25.13656997680664, 26.45954704284668, 26.70674705505371, 28.2082576751709, 28.90407943725586)","(-0.549469530582428, -0.04161049798130989, 0.05417035147547722, -0.07305806130170822, 1.1522464752197266, -0.9746828079223633, -0.72674560546875, -0.7208970785140991, -0.7254033088684082, -0.7426611185073853, -0.8843669295310974, -0.8101583123207092, -0.7362373471260071, -0.6775608062744141, -0.6732463836669922, -0.5796706676483154, -0.5695077180862427, -0.5330746173858643, -0.4941486418247223, -0.4987507164478302, -0.14410272240638733, -0.42224109172821045)","(0.18571321666240692, -0.8432357907295227, 0.8652874231338501, 0.6884907484054565, 0.2103535383939743, -0.12329746782779694, 0.038254812359809875, 0.04304865002632141, 0.039692964404821396, 0.02742074429988861, -0.06845597922801971, -0.3809182345867157, 0.03163931891322136, 0.07650962471961975, 0.07996118813753128, 0.1602100133895874, 0.16903066635131836, 0.1999029666185379, 0.23489797115325928, 0.23029589653015137, 0.5989419221878052, 0.3014364242553711)","(0.0, 0.0, 0.0, 0.013733329251408577, 0.0, 0.0, -0.2151554971933365, -0.47151097655296326, -0.7965331077575684, 0.013733329251408577, 0.0, -0.009155552834272385, 0.032044436782598495, 0.0, 0.013733329251408577, 0.004577776417136192, 0.004577776417136192, -0.013733329251408577, 0.004577776417136192, 0.004577776417136192, 0.0, 0.004577776417136192)","(-29.007843017578125, -42.21320343017578, -22.27240753173828, -37.922298431396484, 42.84493637084961, 34.56526565551758, -10.0894193649292, -12.247077941894531, -13.159581184387207, -7.171849727630615, -5.676442623138428, -8.566545486450195, -14.43525505065918, -16.87368392944336, -13.763847351074219, -8.026368141174316, -10.406811714172363, -10.834071159362793, -11.825922012329102, -10.77303409576416, -18.27143096923828, -15.23178768157959)","(-36.20716094970703, -25.211339950561523, -3.6713767051696777, -27.521591186523438, 15.64378833770752, 12.366100311279297, -21.689504623413086, -23.648792266845703, -24.759666442871094, -19.171728134155273, -24.475845336914062, -20.767845153808594, -26.23676300048828, -26.471755981445312, -23.163549423217773, -15.628528594970703, -17.609180450439453, -17.83196449279785, -17.426069259643555, -16.571550369262695, -9.869686126708984, -17.233802795410156)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.0025940733030438423, 0.027924437075853348, 0.06866664439439774, 0.12512588500976562, 0.16891995072364807, 0.037690360099077225, 0.037690360099077225, 0.05081331729888916, 0.037690360099077225, 0.027924437075853348, 0.011291848495602608, 0.037690360099077225, 0.037690360099077225, 0.037690360099077225, 0.037690360099077225, 0.027924437075853348, 0.02075258642435074, 0.05081331729888916)","(0.016022218391299248, 0.020142216235399246, 0.016022218391299248, 0.022583696991205215, 0.006408886983990669, 0.016022218391299248, 0.022583696991205215, 0.028382213786244392, 0.0317392498254776, 0.017853328958153725, 0.017853328958153725, 0.020142216235399246, 0.017853328958153725, 0.016022218391299248, 0.011291848495602608, 0.017853328958153725, 0.017853328958153725, 0.017853328958153725, 0.017853328958153725, 0.016022218391299248, 0.014191106893122196, 0.020142216235399246)","(6.103701889514923e-05, 6.103701889514923e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.00013733329251408577, 0.000198370311409235, 0.00025940733030438423, 9.155552834272385e-05, 0.00012207403779029846, 0.00012207403779029846, 9.155552834272385e-05, 6.103701889514923e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 7.629627361893654e-05, 6.103701889514923e-05, 6.103701889514923e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 7.629627361893654e-05)","(21.399999618530273, 20.0, 21.600000381469727, 18.200000762939453, 29.799999237060547, 21.200000762939453, 18.5, 16.799999237060547, 15.699999809265137, 20.200000762939453, 20.899999618530273, 19.299999237060547, 21.0, 22.0, 24.399999618530273, 20.399999618530273, 20.100000381469727, 20.5, 20.5, 21.799999237060547, 22.200000762939453, 19.200000762939453)"
2023/08/08/18:08:12.238271,20,"(1, 1, 1)","(14.149907112121582, 13.737907409667969, 26.491592407226562)","(-0.12090054899454117, 0.20862776041030884, -0.03911770507693291)","(0.10210870951414108, -0.016107289120554924, 0.18523383140563965)","(0.0, 0.0, 0.0)","(8.462782859802246, 13.071077346801758, -30.634479522705078)","(7.864619731903076, 2.2705771923065186, -22.23578643798828)","(0.29801324009895325, 0.143742173910141, 0.4121524691581726)","(0.005188146606087685, 0.0009155552834272385, 0.01144444104284048)","(4.577776417136192e-05, 0.0, 0.000198370311409235)","(23.899999618530273, 32.70000076293945, 19.899999618530273)"
2023/08/08/18:08:12.279759,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.363597869873047, 9.183019638061523, 10.126041412353516, 11.806085586547852, 13.788262367248535, 14.127017974853516, 15.385906219482422, 15.376750946044922, 16.640216827392578, 18.21039390563965, 19.176305770874023, 19.954526901245117, 20.86092758178711, 21.625415802001953, 22.66914939880371, 23.987548828125, 25.209814071655273, 26.65639305114746, 27.30185890197754, 28.22657012939453, 28.775901794433594, 29.970703125)","(-0.5472643375396729, -0.8691225051879883, 0.05417035147547722, -0.08379625529050827, 1.1525341272354126, -0.9739157557487488, -0.7354703545570374, -0.7230063676834106, -0.8822576403617859, 0.35714080929756165, -0.7201300859451294, -0.6784237027168274, -0.708816647529602, -0.6175419688224792, -0.5808212161064148, -0.5723840594291687, -0.5264590978622437, -0.498654842376709, -0.4929981231689453, -0.14745840430259705, -0.4238710105419159, -0.42617204785346985)","(0.18772663176059723, -0.05685489624738693, 0.8651915788650513, 0.6731504797935486, 0.21044941246509552, -0.12281808257102966, 0.03211870416998863, 0.041514620184898376, -0.4337463080883026, -0.36500269174575806, 0.0436239093542099, 0.07583849132061005, 0.05215694010257721, 0.126365527510643, 0.15925124287605286, 0.1666337549686432, 0.20546382665634155, 0.23029589653015137, 0.23604850471019745, 0.595106840133667, 0.29990240931510925, 0.298368364572525)","(0.004577776417136192, 0.0, 0.0, -0.004577776417136192, 0.0, 0.0, -0.12359996140003204, -0.4989776313304901, 0.004577776417136192, 0.009155552834272385, 0.01831110566854477, 0.013733329251408577, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.009155552834272385, -0.013733329251408577, 0.0, 0.0, 0.009155552834272385)","(-28.589738845825195, -24.939725875854492, -22.43720817565918, -37.15628433227539, 42.790000915527344, 34.44319152832031, -13.55021858215332, -13.452558517456055, -5.664235591888428, -26.987518310546875, -16.733299255371094, -18.597980499267578, -18.826868057250977, -18.149356842041016, -8.34986400604248, -13.803522109985352, -10.1046781539917, -10.284737586975098, -17.487106323242188, -18.308053970336914, -14.78621768951416, -13.843195915222168)","(-35.78905487060547, -42.53974914550781, -3.836176633834839, -26.755577087402344, 15.588854789733887, 12.244026184082031, -25.348674774169922, -24.85427474975586, -19.864498138427734, -26.987518310546875, -28.135013580322266, -28.1960506439209, -29.82879066467285, -27.14926528930664, -15.948972702026367, -21.002838134765625, -16.70583152770996, -16.083253860473633, -23.28867530822754, -10.309152603149414, -16.986602783203125, -16.043581008911133)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.05081331729888916, 0.0025940733030438423, 0.027924437075853348, 0.06866664439439774, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.09277626872062683, 0.05081331729888916, 0.12512588500976562, 0.12512588500976562, 0.037690360099077225, 0.05081331729888916, 0.011291848495602608, 0.02075258642435074, 0.09277626872062683, 0.02075258642435074, 0.06866664439439774, 0.06866664439439774)","(0.017853328958153725, 0.022431105375289917, 0.017853328958153725, 0.022431105375289917, 0.007171849720180035, 0.017853328958153725, 0.025177771225571632, 0.022431105375289917, 0.017853328958153725, 0.028382213786244392, 0.028382213786244392, 0.022431105375289917, 0.0317392498254776, 0.0317392498254776, 0.019989624619483948, 0.022431105375289917, 0.012665181420743465, 0.016022218391299248, 0.028382213786244392, 0.016022218391299248, 0.025177771225571632, 0.025177771225571632)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.00013733329251408577, 0.00010681478306651115, 9.155552834272385e-05, 0.00010681478306651115, 0.00016785180196166039, 0.00010681478306651115, 0.000198370311409235, 0.00016785180196166039, 7.629627361893654e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 0.00012207403779029846, 3.0518509447574615e-05, 9.155552834272385e-05, 9.155552834272385e-05)","(21.799999237060547, 19.200000762939453, 21.5, 19.899999618530273, 29.899999618530273, 21.100000381469727, 18.399999618530273, 19.100000381469727, 21.899999618530273, 17.100000381469727, 17.899999618530273, 19.100000381469727, 16.5, 16.799999237060547, 20.399999618530273, 19.299999237060547, 24.200000762939453, 22.100000381469727, 17.799999237060547, 22.700000762939453, 18.799999237060547, 18.299999237060547)"
2023/08/08/18:08:12.318402,20,"(1, 1, 1)","(14.154484748840332, 13.747062683105469, 26.624347686767578)","(-0.12090054899454117, 0.20862776041030884, -0.03883007541298866)","(0.10210870951414108, -0.016107289120554924, 0.1855214685201645)","(0.0, 0.0, 0.004577776417136192)","(8.42310905456543, 13.049715042114258, -30.317087173461914)","(7.82189416885376, 2.2492141723632812, -21.915342330932617)","(0.27481916546821594, 0.143742173910141, 0.3801080286502838)","(0.003814813680946827, 0.0007629627361893654, 0.00839259009808302)","(3.0518509447574615e-05, 0.0, 0.00013733329251408577)","(24.100000381469727, 32.900001525878906, 20.600000381469727)"
