time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:20:06.027894,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34528636932373, 9.23337459564209, 10.121463775634766, 11.709952354431152, 13.426618576049805, 14.745018005371094, 14.845728874206543, 16.631061553955078, 18.480484008789062, 18.938261032104492, 20.329904556274414, 22.650836944580078, 25.067903518676758, 26.71132469177246, 28.24488067626953, 28.981903076171875, 29.847103118896484)","(-0.5463055968284607, -0.8577131628990173, 0.05417035147547722, -0.05704665184020996, -0.2755497097969055, -0.17765957117080688, -1.0193613767623901, -0.8905030488967896, -0.8314429521560669, -0.842468798160553, -0.2700847387313843, -0.5918470025062561, 0.05493736267089844, -0.4895465672016144, -0.45541444420814514, -0.4292401075363159, -0.4335545599460602)","(0.18849363923072815, -0.04937651380896568, 0.8652874231338501, -0.8694101572036743, 0.4479360580444336, -1.08014714717865, -0.14573262631893158, -0.0722910538315773, -0.03288571536540985, -0.0410352386534214, 0.45483916997909546, 0.149759441614151, -0.7054609656333923, 0.23921242356300354, 0.2697012424468994, 0.2948209345340729, 0.29136937856674194)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48066651821136475, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0)","(-28.489028930664062, -25.852230072021484, -21.964170455932617, -40.0189208984375, -33.68327713012695, -26.740318298339844, -9.765923500061035, -3.985717296600342, -15.90319538116455, -13.339640617370605, 14.120914459228516, -9.057893753051758, 18.488113403320312, -4.4190802574157715, -9.848322868347168, -16.031373977661133, -15.381328582763672)","(-35.69139862060547, -43.45225524902344, -3.3631396293640137, -22.41889762878418, -29.883724212646484, -0.14038515090942383, -33.36588668823242, -23.386333465576172, -32.703636169433594, -30.338449478149414, 18.323312759399414, -17.258216857910156, 29.490036010742188, -10.217597007751465, -13.64787769317627, -18.631549835205078, -17.98150634765625)","(0.02075258642435074, 0.06866664439439774, 0.027924437075853348, 0.09277626872062683, 0.027924437075853348, 0.05081331729888916, 0.12512588500976562, 0.015259254723787308, 0.09277626872062683, 0.037690360099077225, 0.00015259254723787308, 0.00839259009808302, 0.027924437075853348, 0.027924437075853348, 0.006256294436752796, 0.06866664439439774, 0.12512588500976562)","(0.01434369944036007, 0.022583696991205215, 0.016022218391299248, 0.02533036284148693, 0.016022218391299248, 0.020142216235399246, 0.028382213786244392, 0.012665181420743465, 0.02533036284148693, 0.018005920574069023, 0.00198370311409235, 0.010071108117699623, 0.016022218391299248, 0.016022218391299248, 0.009002960287034512, 0.022583696991205215, 0.028382213786244392)","(4.577776417136192e-05, 0.0001831110566854477, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.0004119998775422573, 6.103701889514923e-05, 0.000198370311409235, 0.00010681478306651115, 0.0, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 9.155552834272385e-05, 0.00013733329251408577)","(22.100000381469727, 18.899999618530273, 21.799999237060547, 17.399999618530273, 21.5, 19.600000381469727, 16.100000381469727, 23.0, 17.899999618530273, 20.200000762939453, 36.5, 25.700000762939453, 21.5, 21.200000762939453, 26.899999618530273, 18.299999237060547, 16.5)"
2023/08/08/18:20:06.056467,20,"(1, 1, 1, 1, 1)","(9.99786376953125, 13.499862670898438, 14.456618309020996, 19.881282806396484, 25.209814071655273)","(0.05311570689082146, -0.17957711219787598, -0.048417747020721436, 0.17689256370067596, 0.051677554845809937)","(-0.17094820737838745, 0.044774431735277176, 0.17545440793037415, -0.04707547277212143, -0.1724822223186493)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-26.20929527282715, -28.391368865966797, -40.122684478759766, -5.160679817199707, 14.752647399902344)","(-20.010986328125, -35.5906867980957, -32.92336654663086, -12.561418533325195, 21.15237808227539)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.16891995072364807, 0.11261329799890518)","(0.00030518509447574615, 0.0033570360392332077, 0.009308145381510258, 0.0012207403779029846, 0.00045777764171361923)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 0.0, 0.0)","(36.400001525878906, 25.299999237060547, 20.600000381469727, 31.0, 35.400001525878906)"
2023/08/08/18:20:06.097745,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34528636932373, 9.178442001342773, 10.121463775634766, 11.723685264587402, 13.426618576049805, 14.78621768951416, 14.731284141540527, 16.621906280517578, 18.1600399017334, 20.329904556274414, 22.627948760986328, 23.520614624023438, 25.063325881958008, 26.69759178161621, 28.112125396728516, 28.981903076171875, 29.700613021850586)","(-0.5483189821243286, -0.8775596618652344, 0.05378684401512146, -0.056087885051965714, -0.27372804284095764, -0.1777554452419281, -1.0296201705932617, -0.8866679668426514, -0.8323058485984802, -0.26989299058914185, -0.6070914268493652, -0.5930933952331543, 0.055129118263721466, -0.48791664838790894, -0.45301753282546997, -0.4114070236682892, -0.4187895357608795)","(0.18676786124706268, -0.0631827637553215, 0.8645204305648804, -0.8678761124610901, 0.45033296942710876, -1.080338954925537, -0.15206047892570496, -0.06989413499832153, -0.033556852489709854, 0.4551268219947815, 0.13566556572914124, 0.1485130488872528, -0.7052692174911499, 0.24074645340442657, 0.27190640568733215, 0.31150346994400024, 0.3039292097091675)","(0.004577776417136192, 0.009155552834272385, 0.0, 0.004577776417136192, -0.004577776417136192, 0.004577776417136192, -0.6408886909484863, 0.0, 0.009155552834272385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192)","(-28.974273681640625, -24.68947410583496, -21.906185150146484, -40.22949981689453, -34.25092315673828, -26.355785369873047, -8.679464340209961, -3.454695224761963, -12.662129402160645, 14.130069732666016, -10.461745262145996, -16.519668579101562, 18.482009887695312, -4.61439847946167, -9.952085494995117, -15.720084190368652, -16.25720977783203)","(-36.173587799072266, -42.88766098022461, -3.30515456199646, -22.629474639892578, -30.048524856567383, 0.24109622836112976, -32.67921829223633, -22.45551872253418, -29.660940170288086, 18.329416275024414, -19.263282775878906, -24.918363571166992, 29.480880737304688, -10.415966987609863, -13.55021858215332, -17.12088394165039, -18.25617218017578)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.037690360099077225, 0.05081331729888916, 0.12512588500976562, 0.02075258642435074, 0.037690360099077225, 0.00015259254723787308, 0.006256294436752796, 0.037690360099077225, 0.027924437075853348, 0.037690360099077225, 0.00839259009808302, 0.05081331729888916, 0.06866664439439774)","(0.017853328958153725, 0.022431105375289917, 0.017853328958153725, 0.025177771225571632, 0.019989624619483948, 0.022431105375289917, 0.0317392498254776, 0.016022218391299248, 0.019989624619483948, 0.002288888208568096, 0.010071108117699623, 0.019989624619483948, 0.017853328958153725, 0.019989624619483948, 0.011291848495602608, 0.022431105375289917, 0.025177771225571632)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.0004272591322660446, 7.629627361893654e-05, 0.00010681478306651115, 0.0, 1.5259254723787308e-05, 7.629627361893654e-05, 4.577776417136192e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 9.155552834272385e-05)","(21.399999618530273, 19.799999237060547, 21.700000762939453, 18.0, 20.799999237060547, 19.100000381469727, 16.100000381469727, 22.299999237060547, 20.700000762939453, 36.5, 26.399999618530273, 20.5, 21.5, 20.399999618530273, 25.799999237060547, 19.799999237060547, 19.0)"
2023/08/08/18:20:06.136934,20,"(1, 1, 1, 1, 1)","(9.9932861328125, 13.499862670898438, 14.43830680847168, 19.885860443115234, 25.218971252441406)","(0.05301982909440994, -0.18015237152576447, -0.04995177313685417, 0.17689256370067596, 0.05177343264222145)","(-0.17104408144950867, 0.04439092427492142, 0.1739203780889511, -0.04707547277212143, -0.17238634824752808)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-26.20624351501465, -27.8267765045166, -40.64760208129883, -5.172887325286865, 14.749595642089844)","(-20.0048828125, -35.026092529296875, -33.44523620605469, -12.573625564575195, 21.14932632446289)","(0.11261329799890518, 0.2534562349319458, 0.3801080286502838, 0.15579698979854584, 0.11261329799890518)","(0.00045777764171361923, 0.0030518509447574615, 0.00839259009808302, 0.0009155552834272385, 0.00045777764171361923)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 0.0, 0.0)","(35.79999923706055, 25.799999237060547, 20.5, 31.100000381469727, 35.5)"
2023/08/08/18:20:06.178189,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33155345916748, 9.242530822753906, 10.116886138916016, 11.732840538024902, 12.135684967041016, 13.408307075500488, 14.703818321228027, 14.630573272705078, 16.608173370361328, 18.132572174072266, 18.66359519958496, 20.329904556274414, 22.84768295288086, 25.063325881958008, 26.71590232849121, 28.45088005065918, 29.398479461669922)","(-0.5491818785667419, -0.8618358969688416, 0.05436210334300995, -0.059347692877054214, 0.034803252667188644, -0.27190640568733215, -0.1783307045698166, -1.0340304374694824, -0.8939545750617981, -0.8295254111289978, -0.7054609656333923, -0.2696053385734558, -0.5894501209259033, 0.05522499233484268, -0.4882042706012726, -0.4552226960659027, -0.4348009526729584)","(0.18590496480464935, -0.052061062306165695, 0.8655750751495361, 0.7062279582023621, 0.8432357907295227, 0.45225051045417786, -1.0813935995101929, -0.53154057264328, -0.07449621707201004, -0.031543441116809845, 0.05503324046730995, 0.4553185701370239, 0.15253986418247223, -0.7051733136177063, 0.24055470526218414, 0.26989299058914185, 0.28945183753967285)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, -0.21057771146297455, 0.004577776417136192, 0.004577776417136192, 0.013733329251408577, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0)","(-29.230628967285156, -25.257118225097656, -21.98858642578125, -40.64760208129883, -40.88564682006836, -34.91012191772461, -27.277442932128906, -5.102694988250732, -5.230872631072998, -12.454604148864746, -15.14023208618164, 14.130069732666016, -11.636707305908203, 18.472854614257812, -4.5838799476623535, -9.13724136352539, -16.45557975769043)","(-36.4299430847168, -42.85409164428711, -3.39060640335083, -29.648731231689453, -24.088258743286133, -30.71077537536621, -0.47914060950279236, -21.903133392333984, -24.829858779907227, -29.255043029785156, -26.139102935791016, 18.332468032836914, -19.8370304107666, 29.471725463867188, -10.382396697998047, -12.936796188354492, -19.055757522583008)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.12512588500976562, 0.05081331729888916, 0.05081331729888916, 0.16891995072364807, 0.015259254723787308, 0.027924437075853348, 0.09277626872062683, 0.00015259254723787308, 0.015259254723787308, 0.027924437075853348, 0.027924437075853348, 0.011291848495602608, 0.037690360099077225)","(0.019531846046447754, 0.02456740103662014, 0.019531846046447754, 0.03097628802061081, 0.03479110077023506, 0.02456740103662014, 0.02456740103662014, 0.03906369209289551, 0.015564439818263054, 0.019531846046447754, 0.03097628802061081, 0.0024414807558059692, 0.015564439818263054, 0.019531846046447754, 0.019531846046447754, 0.01388592179864645, 0.021973326802253723)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 9.155552834272385e-05, 0.00012207403779029846, 6.103701889514923e-05, 6.103701889514923e-05, 0.0005493331700563431, 6.103701889514923e-05, 9.155552834272385e-05, 0.00015259254723787308, 0.0, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 6.103701889514923e-05)","(21.399999618530273, 19.200000762939453, 21.700000762939453, 17.5, 16.299999237060547, 19.5, 19.399999618530273, 15.600000381469727, 23.299999237060547, 21.600000381469727, 17.200000762939453, 36.5, 23.100000381469727, 21.600000381469727, 21.600000381469727, 24.299999237060547, 20.399999618530273)"
2023/08/08/18:20:06.206575,20,"(1, 1, 1, 1, 1)","(9.9932861328125, 13.499862670898438, 14.34217357635498, 19.885860443115234, 25.228126525878906)","(0.05330745875835419, -0.17928947508335114, -0.050047650933265686, 0.17698843777179718, 0.051677554845809937)","(-0.17085231840610504, 0.044966183602809906, 0.1738245040178299, -0.046979594975709915, -0.1724822223186493)","(0.0, 0.004577776417136192, 0.0, 0.0, 0.0)","(-26.22455596923828, -27.7993106842041, -40.116580963134766, -5.188146591186523, 14.703818321228027)","(-20.0262451171875, -34.998626708984375, -32.91726303100586, -12.588885307312012, 21.10354995727539)","(0.10391552746295929, 0.23361918330192566, 0.3505050837993622, 0.15579698979854584, 0.11261329799890518)","(0.00030518509447574615, 0.002288888208568096, 0.006408886983990669, 0.0009155552834272385, 0.00045777764171361923)","(0.0, 1.5259254723787308e-05, 9.155552834272385e-05, 0.0, 0.0)","(36.20000076293945, 26.0, 21.200000762939453, 31.100000381469727, 35.400001525878906)"
2023/08/08/18:20:06.247870,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34528636932373, 9.21964168548584, 10.126041412353516, 11.732840538024902, 13.412884712219238, 14.735862731933594, 14.639728546142578, 15.541550636291504, 16.594440460205078, 17.944883346557617, 18.485061645507812, 18.745994567871094, 20.334482192993164, 20.998260498046875, 22.728660583496094, 25.063325881958008, 26.69301414489746, 28.139591217041016, 28.41883659362793)","(-0.5476478338241577, -0.852919340133667, 0.054266225546598434, -0.05810129642486572, -0.27449506521224976, -1.0655739307403564, -1.0343180894851685, -1.0434263944625854, -0.8987483978271484, -0.864616334438324, -0.72674560546875, -0.8473585247993469, -0.2700847387313843, -0.2700847387313843, -0.573246955871582, 0.055129118263721466, -0.49386101961135864, -0.46059179306030273, -0.4486072063446045)","(0.18734312057495117, -0.04803423956036568, 0.8652874231338501, -0.871135950088501, 0.44947007298469543, -0.17152346670627594, -0.15445740520954132, -0.16001825034618378, -0.0774683952331543, -0.4192689061164856, 0.038254812359809875, -0.04439092427492142, 0.45483916997909546, 0.45483916997909546, 0.16586673259735107, -0.7052692174911499, 0.23518560826778412, 0.2650032639503479, 0.27574145793914795)","(0.0, 0.0, 0.0, 0.0, 0.004577776417136192, -0.004577776417136192, -0.17853328585624695, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0)","(-28.812524795532227, -24.973297119140625, -21.912290573120117, -40.171512603759766, -33.909114837646484, 1.6815698146820068, -7.818841934204102, -9.305093765258789, -2.8687398433685303, -14.267403602600098, -17.050691604614258, -15.247047424316406, 14.145329475402832, 3.39060640335083, -13.156529426574707, 18.491165161132812, -5.56352424621582, -8.371227264404297, -7.690664291381836)","(-36.0118408203125, -42.37495040893555, -3.311258316040039, -22.571489334106445, -29.911191940307617, -24.314096450805664, -32.21839141845703, -34.50422668457031, -22.66914939880371, -27.668081283569336, -28.650775909423828, -32.44728088378906, 18.344676971435547, 7.589953422546387, -20.358898162841797, 29.490036010742188, -11.163670539855957, -12.372203826904297, -11.090426445007324)","(0.027924437075853348, 0.037690360099077225, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.037690360099077225, 0.12512588500976562, 0.09277626872062683, 0.015259254723787308, 0.09277626872062683, 0.05081331729888916, 0.09277626872062683, 0.00015259254723787308, 0.00015259254723787308, 0.06866664439439774, 0.027924437075853348, 0.027924437075853348, 0.004577776417136192, 0.006256294436752796)","(0.0157170332968235, 0.01754814386367798, 0.0157170332968235, 0.024872586131095886, 0.01754814386367798, 0.01754814386367798, 0.0277718435972929, 0.024872586131095886, 0.012512588873505592, 0.024872586131095886, 0.0196844395250082, 0.024872586131095886, 0.00198370311409235, 0.00198370311409235, 0.02212592028081417, 0.0157170332968235, 0.0157170332968235, 0.0079348124563694, 0.008850367739796638)","(6.103701889514923e-05, 0.00010681478306651115, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 0.0002136295661330223, 0.0004425183869898319, 0.0003662221133708954, 6.103701889514923e-05, 0.0002136295661330223, 0.00010681478306651115, 0.0002136295661330223, 0.0, 0.0, 0.00010681478306651115, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 1.5259254723787308e-05)","(21.700000762939453, 20.299999237060547, 21.399999618530273, 17.700000762939453, 20.600000381469727, 20.700000762939453, 16.5, 17.5, 23.799999237060547, 17.5, 19.399999618530273, 17.899999618530273, 36.5, 36.5, 18.799999237060547, 21.399999618530273, 21.899999618530273, 28.0, 26.200000762939453)"
2023/08/08/18:20:06.287231,20,"(1, 1, 1, 1, 1)","(9.9932861328125, 13.499862670898438, 14.479506492614746, 19.881282806396484, 25.209814071655273)","(0.0534033365547657, -0.1803441196680069, -0.051006417721509933, 0.17689256370067596, 0.051677554845809937)","(-0.17075644433498383, 0.04419916868209839, 0.17296160757541656, -0.047171350568532944, -0.1724822223186493)","(0.0, 0.0, -0.004577776417136192, 0.0, 0.0)","(-26.111637115478516, -27.692495346069336, -40.3210563659668, -5.22476863861084, 14.728232383728027)","(-19.913328170776367, -34.89181137084961, -33.32316207885742, -12.625507354736328, 21.12796401977539)","(0.10391552746295929, 0.23361918330192566, 0.3505050837993622, 0.15579698979854584, 0.11261329799890518)","(0.00045777764171361923, 0.0028992583975195885, 0.007782219909131527, 0.0010681478306651115, 0.00045777764171361923)","(0.0, 1.5259254723787308e-05, 9.155552834272385e-05, 0.0, 0.0)","(36.099998474121094, 26.0, 21.0, 31.0, 35.70000076293945)"
2023/08/08/18:20:06.327542,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.21964168548584, 10.112308502197266, 11.783196449279785, 13.458662986755371, 14.699239730834961, 15.541550636291504, 16.65852928161621, 18.480484008789062, 18.89706039428711, 20.329904556274414, 22.26172637939453, 22.577592849731445, 23.520614624023438, 25.063325881958008, 26.71132469177246, 28.400524139404297)","(-0.548510730266571, -0.8493719100952148, 0.053882718086242676, -0.061361104249954224, -0.26989299058914185, -0.17670080065727234, -1.0311541557312012, -0.8927081823348999, -0.776313841342926, -0.8277996182441711, -0.2700847387313843, -0.6161997318267822, -0.5916552543640137, -0.6091048121452332, 0.055129118263721466, -0.4929022490978241, -0.4512917399406433)","(0.18657611310482025, -0.04573319852352142, 0.8648080825805664, -0.8762173652648926, 0.4550309479236603, -1.0768873691558838, -0.15282750129699707, -0.07372920215129852, 0.00421857601031661, -0.030105290934443474, 0.45483916997909546, 0.12751604616641998, 0.14985531568527222, 0.13326865434646606, -0.7052692174911499, 0.23614437878131866, 0.27324867248535156)","(0.0, 0.0, 0.0, 0.0, 0.0, -0.013733329251408577, 0.0, 0.0, -0.009155552834272385, 0.004577776417136192, 0.0, 0.004577776417136192, 0.004577776417136192, 0.009155552834272385, 0.0, 0.0, 0.0)","(-29.074983596801758, -24.774925231933594, -21.964170455932617, -39.37192916870117, -33.11258316040039, -27.658926010131836, -13.318277359008789, -4.477065563201904, -18.735313415527344, -14.267403602600098, 14.127017974853516, -12.988677978515625, -12.216559410095215, -16.70583152770996, 18.399608612060547, -5.066072463989258, -6.9460129737854)","(-36.27429962158203, -41.97515869140625, -3.3631396293640137, -21.170690536499023, -28.913236618041992, -1.0589922666549683, -37.31803512573242, -23.877681732177734, -32.734153747558594, -31.067842483520508, 18.326364517211914, -21.98858642578125, -20.41688346862793, -25.507369995117188, 29.398479461669922, -10.86458969116211, -10.544144630432129)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.02075258642435074, 0.06866664439439774, 0.12512588500976562, 0.015259254723787308, 0.16891995072364807, 0.037690360099077225, 0.00015259254723787308, 0.015259254723787308, 0.00839259009808302, 0.05081331729888916, 0.027924437075853348, 0.02075258642435074, 0.006256294436752796)","(0.017242958769202232, 0.021668141707777977, 0.017242958769202232, 0.027161473408341408, 0.015259254723787308, 0.024262215942144394, 0.030518509447574615, 0.013580736704170704, 0.03418073058128357, 0.019226660951972008, 0.002136295661330223, 0.013580736704170704, 0.010834070853888988, 0.021668141707777977, 0.017242958769202232, 0.015259254723787308, 0.009613330475986004)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 0.0004425183869898319, 6.103701889514923e-05, 0.00027466658502817154, 0.00010681478306651115, 0.0, 4.577776417136192e-05, 3.0518509447574615e-05, 9.155552834272385e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05)","(21.600000381469727, 19.399999618530273, 21.600000381469727, 17.799999237060547, 22.399999618530273, 18.600000381469727, 16.100000381469727, 23.600000381469727, 15.899999618530273, 20.299999237060547, 36.5, 23.200000762939453, 25.399999618530273, 19.299999237060547, 21.5, 22.0, 26.700000762939453)"
2023/08/08/18:20:06.356607,20,"(1, 1, 1, 1, 1)","(9.984129905700684, 13.499862670898438, 14.548173904418945, 19.885860443115234, 25.209814071655273)","(0.05311570689082146, -0.18005648255348206, -0.048993006348609924, 0.17698843777179718, 0.051677554845809937)","(-0.17094820737838745, 0.04448680207133293, 0.17487914860248566, -0.04707547277212143, -0.1724822223186493)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-26.22150421142578, -27.936643600463867, -40.21424102783203, -5.185094833374023, 14.752647399902344)","(-20.0201416015625, -35.13595962524414, -33.014923095703125, -12.585833549499512, 21.15237808227539)","(0.11261329799890518, 0.2534562349319458, 0.3801080286502838, 0.16891995072364807, 0.11261329799890518)","(0.00045777764171361923, 0.0032044434919953346, 0.008697775192558765, 0.0012207403779029846, 0.00045777764171361923)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 0.0, 0.0)","(35.79999923706055, 25.799999237060547, 20.799999237060547, 30.799999237060547, 35.20000076293945)"
2023/08/08/18:20:06.398737,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33613109588623, 9.22421932220459, 10.121463775634766, 11.682485580444336, 13.380840301513672, 14.662617683410645, 16.612751007080078, 17.697683334350586, 18.512527465820312, 20.329904556274414, 20.998260498046875, 22.371593475341797, 22.975860595703125, 25.063325881958008, 26.67012596130371, 28.373058319091797)","(-0.5488942265510559, -0.8618358969688416, 0.054074473679065704, -0.052444569766521454, -0.27372804284095764, -1.0639439821243286, -0.8930916786193848, -0.8468791246414185, -0.7934758067131042, -0.2696053385734558, -0.2700847387313843, -0.6118852496147156, 0.9238681197166443, 0.055129118263721466, -0.4868620038032532, -0.44122469425201416)","(0.1862884759902954, -0.052061062306165695, 0.8650956749916077, -0.8624111413955688, 0.45033296942710876, -0.1706605702638626, -0.07401683181524277, -0.04458267614245415, -0.006711370777338743, 0.4553185701370239, 0.45483916997909546, 0.13115936517715454, 0.4622216820716858, -0.7053650617599487, 0.24170522391796112, 0.2833157181739807)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, -0.004577776417136192, 0.0, 0.0, 0.0, 0.009155552834272385, 0.004577776417136192, 0.0, 0.0, 0.0)","(-28.71486473083496, -25.022125244140625, -21.939756393432617, -38.789024353027344, -33.97015380859375, 1.2817773818969727, -4.61439847946167, -13.498336791992188, -11.691640853881836, 14.120914459228516, 3.2013916969299316, -14.648884773254395, -2.7863399982452393, 18.42707633972168, -5.716116905212402, -8.43836784362793)","(-35.914180755615234, -42.62215042114258, -3.3387248516082764, -21.189001083374023, -29.77080535888672, -24.71388816833496, -24.0150146484375, -30.69856834411621, -26.493118286132812, 18.320261001586914, 7.400738716125488, -23.648792266845703, -19.388408660888672, 29.425947189331055, -11.316263198852539, -11.636707305908203)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.037690360099077225, 0.015259254723787308, 0.06866664439439774, 0.037690360099077225, 0.00015259254723787308, 0.00015259254723787308, 0.02075258642435074, 0.02075258642435074, 0.027924437075853348, 0.05081331729888916, 0.02075258642435074)","(0.019226660951972008, 0.027161473408341408, 0.019226660951972008, 0.024262215942144394, 0.019226660951972008, 0.021668141707777977, 0.015259254723787308, 0.027161473408341408, 0.021668141707777977, 0.0024414807558059692, 0.0024414807558059692, 0.017242958769202232, 0.017242958769202232, 0.019226660951972008, 0.024262215942144394, 0.017242958769202232)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.0002136295661330223, 6.103701889514923e-05, 0.00016785180196166039, 0.00010681478306651115, 0.0, 0.0, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05)","(21.5, 18.799999237060547, 21.600000381469727, 19.299999237060547, 21.200000762939453, 20.399999618530273, 23.0, 18.600000381469727, 20.200000762939453, 36.5, 36.5, 22.5, 22.200000762939453, 21.600000381469727, 19.600000381469727, 22.899999618530273)"
2023/08/08/18:20:06.437277,20,"(1, 1, 1, 1, 1)","(9.99786376953125, 13.499862670898438, 14.529862403869629, 19.895015716552734, 25.228126525878906)","(0.05311570689082146, -0.1803441196680069, -0.04995177313685417, 0.17698843777179718, 0.05177343264222145)","(-0.17094820737838745, 0.0442950464785099, 0.1739203780889511, -0.04707547277212143, -0.17238634824752808)","(0.0, 0.0, 0.004577776417136192, 0.0, 0.0)","(-26.26728057861328, -28.1838436126709, -40.29358673095703, -5.169835567474365, 14.749595642089844)","(-20.065919876098633, -35.38315963745117, -33.09427261352539, -12.570573806762695, 21.14932632446289)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.16891995072364807, 0.11261329799890518)","(0.00030518509447574615, 0.0028992583975195885, 0.0079348124563694, 0.0010681478306651115, 0.00045777764171361923)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 0.0, 0.0)","(36.29999923706055, 25.600000381469727, 20.600000381469727, 30.899999618530273, 35.29999923706055)"
