time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:17:30.528987,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.178442001342773, 10.121463775634766, 11.774041175842285, 13.426618576049805, 14.690084457397461, 15.541550636291504, 16.69057273864746, 18.567461013793945, 20.073549270629883, 20.403148651123047, 22.312082290649414, 23.516036987304688, 24.45448112487793, 24.628437042236328, 25.200658798217773, 25.653858184814453, 26.757102966308594, 28.363903045654297, 29.398479461669922)","(-0.5470725893974304, -0.8611647486686707, 0.05397859588265419, -0.0559920072555542, -0.2747826874256134, -0.17622141540050507, -1.0119788646697998, -0.896926760673523, -0.7531116604804993, 0.4435257315635681, -0.11466856300830841, -0.6106388568878174, -0.5931892991065979, -0.540648877620697, 0.7975984811782837, -0.5293353796005249, -0.4994218647480011, -0.4954909086227417, -0.4517711400985718, -0.41380393505096436)","(0.18782250583171844, -0.05158167704939842, 0.8649039268493652, -0.8677802681922913, 0.4491824507713318, -1.0759285688400269, -0.1419934332370758, -0.07641375064849854, 0.02032586559653282, -0.27957653999328613, 0.6335533857345581, 0.13259750604629517, 0.1484171748161316, 0.19328747689723969, 0.004506206139922142, 0.20268340408802032, 0.22962476313114166, 0.2337474524974823, 0.2727692723274231, 0.3087230622768402)","(0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0, 0.004577776417136192, 0.0, 0.009155552834272385, 0.0, 0.0, 0.004577776417136192, 0.009155552834272385, 0.009155552834272385, -0.07324442267417908, -0.004577776417136192, -0.18768882751464844, 0.004577776417136192, 0.004577776417136192, 0.0)","(-29.087190628051758, -25.14725112915039, -21.97943115234375, -39.33530807495117, -33.80535125732422, -27.469711303710938, -14.554277420043945, -4.852443218231201, -15.854365348815918, 12.018189430236816, 7.135227680206299, -11.468855857849121, -13.586840629577637, -9.170811653137207, -8.221686363220215, -12.994781494140625, -8.038575172424316, -12.668232917785645, -7.9989013671875, -16.745506286621094)","(-36.28955841064453, -42.747276306152344, -3.378398895263672, -21.73528289794922, -29.80437660217285, -1.071199655532837, -37.95587158203125, -24.45448112487793, -27.854244232177734, 8.417004585266113, 17.13614273071289, -20.468765258789062, -21.98553466796875, -16.370128631591797, -22.623371124267578, -19.7943058013916, -13.840144157409668, -18.26837921142578, -11.600085258483887, -18.344676971435547)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.037690360099077225, 0.22797326743602753, 0.015259254723787308, 0.05081331729888916, 0.0033570360392332077, 0.037690360099077225, 0.011291848495602608, 0.015259254723787308, 0.027924437075853348, 0.12512588500976562, 0.037690360099077225, 0.06866664439439774, 0.05081331729888916, 0.006256294436752796, 0.05081331729888916)","(0.019226660951972008, 0.024262215942144394, 0.019226660951972008, 0.030518509447574615, 0.021668141707777977, 0.021668141707777977, 0.04303110018372536, 0.015259254723787308, 0.024262215942144394, 0.008697775192558765, 0.021668141707777977, 0.013580736704170704, 0.015259254723787308, 0.019226660951972008, 0.03418073058128357, 0.021668141707777977, 0.027161473408341408, 0.024262215942144394, 0.010834070853888988, 0.024262215942144394)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 4.577776417136192e-05, 0.0005035554058849812, 6.103701889514923e-05, 0.00010681478306651115, 1.5259254723787308e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 0.00022888882085680962, 6.103701889514923e-05, 9.155552834272385e-05, 7.629627361893654e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.399999618530273, 19.5, 21.799999237060547, 17.700000762939453, 20.299999237060547, 20.5, 14.699999809265137, 23.799999237060547, 19.200000762939453, 28.200000762939453, 20.299999237060547, 24.799999237060547, 23.299999237060547, 21.399999618530273, 16.799999237060547, 20.700000762939453, 18.899999618530273, 19.399999618530273, 26.600000381469727, 19.799999237060547)"
2023/08/08/18:17:30.556649,20,"(1, 1, 1, 1)","(10.029908180236816, 13.499862670898438, 14.35590648651123, 20.128482818603516)","(0.05330745875835419, -0.17938534915447235, -0.04726722463965416, -0.11773661524057388)","(-0.17085231840610504, 0.044966183602809906, 0.17670080065727234, 0.10565615445375443)","(0.0, 0.0, 0.0, 0.0)","(-25.75762176513672, -28.24182891845703, -40.20813751220703, 5.597094535827637)","(-19.55626106262207, -35.44419860839844, -32.810447692871094, 5.197302341461182)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.27481916546821594)","(0.00030518509447574615, 0.0024414807558059692, 0.0079348124563694, 0.0035096285864710808)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 3.0518509447574615e-05)","(36.5, 26.100000381469727, 20.799999237060547, 24.200000762939453)"
2023/08/08/18:17:30.600118,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.23337459564209, 10.126041412353516, 11.705374717712402, 13.440351486206055, 14.667195320129395, 16.67226219177246, 18.65901756286621, 20.073549270629883, 20.403148651123047, 22.582170486450195, 23.520614624023438, 24.106571197509766, 24.651325225830078, 25.232704162597656, 25.76372528076172, 26.70674705505371, 28.496658325195312, 29.934080123901367)","(-0.5476478338241577, -0.8671091198921204, 0.05417035147547722, -0.0631827637553215, -0.2708517611026764, -0.17612554132938385, -0.8954886198043823, -0.759343683719635, 0.44304636120796204, -0.11476443707942963, -0.5946274399757385, -0.6703700423240662, -0.5257879495620728, 0.8020088076591492, -0.5411282181739807, -0.49309399724006653, -0.49846309423446655, -0.4435257315635681, -0.4336504340171814)","(0.18734312057495117, -0.055512625724077225, 0.8652874231338501, -0.877655565738678, 0.4539763033390045, -1.0756410360336304, -0.07545498013496399, 0.015532029792666435, -0.2808229327201843, 0.6333616375923157, 0.1471707671880722, 0.08197460323572159, 0.20613496005535126, 0.007478384766727686, 0.19290396571159363, 0.23585674166679382, 0.2304876446723938, 0.281110554933548, 0.2911776006221771)","(0.0, 0.0, 0.0, 0.004577776417136192, -0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.013733329251408577, -0.0869777500629425, 0.02288888208568096, -0.2838221490383148, 0.0, 0.0, 0.0)","(-29.084138870239258, -23.34360694885254, -21.99163818359375, -39.237648010253906, -34.150211334228516, -27.906124114990234, -4.60829496383667, -13.57463264465332, 11.810663223266602, 7.010101795196533, -7.486190319061279, -14.944913864135742, -15.799432754516602, 0.0030518509447574615, -9.607226371765137, -3.784295082092285, -11.490219116210938, -10.35798168182373, -10.33356761932373)","(-36.28345489501953, -40.943634033203125, -3.39060640335083, -21.039461135864258, -29.950864791870117, -1.5076143741607666, -24.2103328704834, -26.374095916748047, 8.209479331970215, 17.007965087890625, -15.884883880615234, -24.542985916137695, -22.400585174560547, -14.392529487609863, -16.806543350219727, -9.585864067077637, -17.28873634338379, -13.55632209777832, -12.933744430541992)","(0.027924437075853348, 0.037690360099077225, 0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.037690360099077225, 0.011291848495602608, 0.037690360099077225, 0.004577776417136192, 0.037690360099077225, 0.0025940733030438423, 0.037690360099077225, 0.037690360099077225, 0.06866664439439774, 0.037690360099077225, 0.09277626872062683, 0.037690360099077225, 0.011291848495602608, 0.02075258642435074)","(0.016022218391299248, 0.018005920574069023, 0.016022218391299248, 0.022583696991205215, 0.016022218391299248, 0.018005920574069023, 0.011291848495602608, 0.018005920574069023, 0.008087405003607273, 0.018005920574069023, 0.006408886983990669, 0.018005920574069023, 0.018005920574069023, 0.022583696991205215, 0.018005920574069023, 0.02533036284148693, 0.018005920574069023, 0.011291848495602608, 0.01434369944036007)","(6.103701889514923e-05, 0.00012207403779029846, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 4.577776417136192e-05, 4.577776417136192e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 6.103701889514923e-05, 0.00015259254723787308, 6.103701889514923e-05, 0.00012207403779029846, 6.103701889514923e-05, 3.0518509447574615e-05, 4.577776417136192e-05)","(21.100000381469727, 20.899999618530273, 21.700000762939453, 18.200000762939453, 21.0, 20.399999618530273, 24.0, 20.100000381469727, 27.799999237060547, 20.200000762939453, 29.100000381469727, 20.899999618530273, 20.799999237060547, 18.299999237060547, 20.399999618530273, 17.200000762939453, 20.600000381469727, 24.5, 22.5)"
2023/08/08/18:17:30.637417,20,"(1, 1, 1, 1, 1)","(10.025330543518066, 13.499862670898438, 14.465773582458496, 20.110172271728516, 26.926481246948242)","(0.05330745875835419, -0.17919360101222992, -0.04793836176395416, -0.1178324967622757, -0.03815893828868866)","(-0.17075644433498383, 0.045157939195632935, 0.17602966725826263, 0.10565615445375443, 0.1861926019191742)","(0.0, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192)","(-25.73931121826172, -28.586687088012695, -40.812400817871094, 5.548264980316162, -39.74120330810547)","(-19.53795051574707, -35.78600311279297, -33.41166305541992, 5.148472785949707, -31.34250831604004)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.27481916546821594, 0.618152379989624)","(0.00030518509447574615, 0.0027466658502817154, 0.009308145381510258, 0.004119998775422573, 0.03082369454205036)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 3.0518509447574615e-05, 0.00079348124563694)","(36.400001525878906, 26.200000762939453, 20.399999618530273, 24.200000762939453, 14.5)"
2023/08/08/18:17:30.678015,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.22421932220459, 10.121463775634766, 11.705374717712402, 13.467818260192871, 14.676351547241211, 16.69057273864746, 18.21955108642578, 20.082704544067383, 20.398571014404297, 22.25257110595703, 23.717458724975586, 24.651325225830078, 25.635547637939453, 25.695058822631836, 26.779991149902344, 28.21283531188965, 28.981903076171875, 29.924924850463867)","(-0.5504282712936401, -0.8771761655807495, 0.05417035147547722, -0.05838892608880997, -0.2762208580970764, -0.1738245040178299, -0.9010494351387024, -0.7856138944625854, 0.4435257315635681, -0.11476443707942963, -0.6017223000526428, -0.5580984354019165, 0.806323230266571, -0.5057497024536133, -0.4943403899669647, -0.49568265676498413, -0.4624134600162506, -0.42348748445510864, -0.44582676887512207)","(0.184946209192276, -0.06203224137425423, 0.8651915788650513, -0.8715194463729858, 0.4471690356731415, -1.070942997932434, -0.07900242507457733, -0.36356455087661743, -0.27967241406440735, 0.6334575414657593, 0.14045940339565277, 0.1784265786409378, 0.010642316192388535, 0.22358451783657074, 0.23480209708213806, 0.23355570435523987, 0.26327750086784363, 0.3001900315284729, 0.2780424952507019)","(0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, -0.2929776906967163, 0.004577776417136192, 0.004577776417136192, 0.013733329251408577, -0.004577776417136192)","(-28.86440658569336, -24.567399978637695, -22.00689697265625, -40.0555419921875, -33.832820892333984, -28.23267364501953, -3.9582507610321045, -17.73430633544922, 12.366100311279297, 7.010101795196533, -8.548234939575195, -12.109745025634766, 0.5157628059387207, -4.7273173332214355, -5.508591175079346, -10.113834381103516, -11.441389083862305, -14.88387680053711, -13.425092697143555)","(-36.066776275634766, -42.768638610839844, -3.4089174270629883, -22.45551872253418, -30.033266067504883, -2.0325326919555664, -23.55723762512207, -28.534807205200195, 8.76796817779541, 17.011016845703125, -17.349773406982422, -19.11069107055664, -13.882869720458984, -10.928678512573242, -11.108736991882324, -15.713980674743652, -15.442365646362305, -17.084260940551758, -16.824853897094727)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.037690360099077225, 0.011291848495602608, 0.12512588500976562, 0.0033570360392332077, 0.037690360099077225, 0.011291848495602608, 0.037690360099077225, 0.05081331729888916, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.011291848495602608, 0.05081331729888916, 0.02075258642435074)","(0.017853328958153725, 0.025177771225571632, 0.017853328958153725, 0.028229622170329094, 0.019989624619483948, 0.019989624619483948, 0.012665181420743465, 0.0315866582095623, 0.0079348124563694, 0.019989624619483948, 0.012665181420743465, 0.019989624619483948, 0.022431105375289917, 0.025177771225571632, 0.0315866582095623, 0.019989624619483948, 0.012665181420743465, 0.022431105375289917, 0.0158696249127388)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.00022888882085680962, 1.5259254723787308e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 0.00012207403779029846, 9.155552834272385e-05, 0.00015259254723787308, 6.103701889514923e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 4.577776417136192e-05)","(21.799999237060547, 19.0, 21.799999237060547, 17.899999618530273, 20.600000381469727, 20.0, 24.899999618530273, 16.299999237060547, 28.0, 20.299999237060547, 24.799999237060547, 20.700000762939453, 19.299999237060547, 18.399999618530273, 16.799999237060547, 20.200000762939453, 24.899999618530273, 19.0, 22.0)"
2023/08/08/18:17:30.706780,20,"(1, 1, 1, 1, 1)","(10.025330543518066, 13.499862670898438, 14.516129493713379, 20.119327545166016, 26.793725967407227)","(0.053499214351177216, -0.17890596389770508, -0.04870537668466568, -0.11773661524057388, -0.03614552691578865)","(-0.1706605702638626, 0.045349691063165665, 0.1751667708158493, 0.10565615445375443, 0.1881101280450821)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-25.705739974975586, -28.42494010925293, -39.844966888427734, 5.5818352699279785, -40.125736236572266)","(-19.507431030273438, -35.6242561340332, -32.64259719848633, 5.182043075561523, -31.32724952697754)","(0.10391552746295929, 0.23361918330192566, 0.3505050837993622, 0.27481916546821594, 0.618152379989624)","(0.00030518509447574615, 0.0025940733030438423, 0.0068666646257042885, 0.003814813680946827, 0.027924437075853348)","(0.0, 1.5259254723787308e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 0.00079348124563694)","(36.5, 26.700000762939453, 21.299999237060547, 24.299999237060547, 14.899999618530273)"
2023/08/08/18:17:30.747856,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33155345916748, 9.23337459564209, 10.116886138916016, 11.824396133422852, 13.435773849487305, 14.717551231384277, 15.541550636291504, 16.644794464111328, 20.087282180786133, 20.403148651123047, 22.353282928466797, 23.699148178100586, 24.67421531677246, 25.168615341186523, 25.676748275756836, 26.839502334594727, 27.718435287475586, 28.501235961914062)","(-0.5491818785667419, -0.04985589534044266, 0.05455385521054268, -0.05359508842229843, -0.2754538357257843, -0.17737194895744324, -1.0056509971618652, -0.9021040797233582, 0.4440051019191742, -0.11466856300830841, -0.5927098989486694, -0.561549961566925, 0.8045974969863892, -0.5689324736595154, -0.49117645621299744, -0.49069708585739136, -0.45838662981987, -0.42147406935691833)","(0.18600085377693176, -0.8583843111991882, 0.8658627271652222, -0.8642327785491943, 0.44841545820236206, -1.0783255100250244, -0.1386377513408661, -0.07957768440246582, -0.2791930139064789, -0.960109531879425, 0.1490883082151413, 0.17593379318714142, 0.009491795673966408, 0.16941417753696442, 0.23777428269386292, 0.23815777897834778, 0.2670166790485382, 0.302107572555542)","(0.0, 0.009155552834272385, 0.0, 0.004577776417136192, 0.0, 0.0, 0.01831110566854477, 0.004577776417136192, 0.0, 0.0, 0.0, 0.009155552834272385, -0.032044436782598495, -0.03662221133708954, -0.30671101808547974, 0.0, 0.0, 0.0)","(-28.818628311157227, -42.47566223144531, -21.906185150146484, -39.53977966308594, -33.44523620605469, -26.996673583984375, -13.827936172485352, -4.672383785247803, 12.88186264038086, 7.089449882507324, -9.872737884521484, -10.78524112701416, 1.071199655532837, -10.989715576171875, -1.467940330505371, -11.55430793762207, -11.004974365234375, -11.328471183776855)","(-36.02099609375, -24.87563705444336, -3.30820631980896, -21.939756393432617, -29.642627716064453, -0.3967406153678894, -37.028106689453125, -24.472793579101562, 9.280678749084473, 28.89187240600586, -18.27143096923828, -17.78313636779785, -13.525803565979004, -18.18903160095215, -7.2695088386535645, -17.355876922607422, -15.005950927734375, -13.330485343933105)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.037690360099077225, 0.12512588500976562, 0.015259254723787308, 0.0033570360392332077, 0.037690360099077225, 0.006256294436752796, 0.037690360099077225, 0.05081331729888916, 0.09277626872062683, 0.09277626872062683, 0.037690360099077225, 0.004577776417136192, 0.037690360099077225)","(0.019531846046447754, 0.02456740103662014, 0.019531846046447754, 0.0276192519813776, 0.019531846046447754, 0.021973326802253723, 0.03479110077023506, 0.015564439818263054, 0.008697775192558765, 0.021973326802253723, 0.010986663401126862, 0.021973326802253723, 0.02456740103662014, 0.03097628802061081, 0.03097628802061081, 0.021973326802253723, 0.009765923023223877, 0.021973326802253723)","(6.103701889514923e-05, 6.103701889514923e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 4.577776417136192e-05, 0.00039674062281847, 6.103701889514923e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 0.00012207403779029846, 0.00013733329251408577, 0.00012207403779029846, 6.103701889514923e-05, 1.5259254723787308e-05, 6.103701889514923e-05)","(21.799999237060547, 19.5, 21.700000762939453, 18.299999237060547, 21.299999237060547, 20.299999237060547, 16.5, 23.399999618530273, 28.5, 20.200000762939453, 26.700000762939453, 20.799999237060547, 19.600000381469727, 17.200000762939453, 17.899999618530273, 20.299999237060547, 27.5, 20.299999237060547)"
2023/08/08/18:17:30.786929,20,"(1, 1, 1, 1)","(10.025330543518066, 13.499862670898438, 14.534440040588379, 20.128482818603516)","(0.05330745875835419, -0.18005648255348206, -0.04765073210000992, -0.11773661524057388)","(-0.17085231840610504, 0.04458267614245415, 0.17631730437278748, 0.10565615445375443)","(0.0, 0.0, 0.0, 0.0)","(-25.79424476623535, -28.22046661376953, -40.3241081237793, 5.679494380950928)","(-19.59288215637207, -35.41978073120117, -32.92336654663086, 5.279702186584473)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.27481916546821594)","(0.00030518509447574615, 0.0028992583975195885, 0.007782219909131527, 0.0035096285864710808)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 3.0518509447574615e-05)","(36.5, 25.799999237060547, 20.600000381469727, 24.200000762939453)"
2023/08/08/18:17:30.827988,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.242530822753906, 10.121463775634766, 11.764884948730469, 13.403729438781738, 14.676351547241211, 16.585283279418945, 17.221595764160156, 18.324838638305664, 20.078126907348633, 20.403148651123047, 22.357860565185547, 23.941770553588867, 24.344615936279297, 24.591814041137695, 25.704214096069336, 25.53483772277832, 26.86697006225586, 28.20368003845215, 28.981903076171875)","(-0.5490860342979431, -0.872478187084198, 0.054074473679065704, -0.8771761655807495, -0.2754538357257843, -0.1751667708158493, -0.8817782402038574, -0.9093907475471497, -0.7848469018936157, 0.4435257315635681, -0.1145726889371872, -0.6009553074836731, -0.5466890931129456, -0.544579803943634, 0.801050066947937, -0.4923269748687744, -0.49635380506515503, -0.4955867826938629, -0.4487989544868469, -0.4233916103839874)","(0.18600085377693176, -0.058964185416698456, 0.8650956749916077, -0.06203224137425423, 0.4480319321155548, -1.0737234354019165, -0.06586731225252151, -0.08389213681221008, -0.00153402762953192, -0.27967241406440735, -0.9600136280059814, 0.14113053679466248, 0.1882060170173645, 0.18983592092990875, 0.006807247642427683, 0.23671963810920715, 0.23278868198394775, 0.23365157842636108, 0.2755497097969055, 0.3002859055995941)","(0.0, -0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, -0.4531998634338379, -0.03662221133708954, -0.173955500125885, 0.0, 0.009155552834272385, 0.0)","(-28.69960594177246, -25.009918212890625, -21.97332763671875, -21.069978713989258, -33.008819580078125, -27.167577743530273, -4.17493200302124, -11.960204124450684, -11.859493255615234, 12.34168529510498, 7.083345890045166, -8.755760192871094, -11.154515266418457, -9.475996971130371, 0.3418073058128357, -2.8778953552246094, -3.689687728881836, -13.000885009765625, -11.508529663085938, -13.156529426574707)","(-35.898921966552734, -42.60994338989258, -3.372295379638672, -39.268165588378906, -29.209264755249023, -0.7690664529800415, -22.977386474609375, -31.958982467651367, -26.45649528503418, 8.743553161621094, 28.88271713256836, -17.355876922607422, -18.353832244873047, -16.67836570739746, -14.053773880004883, -8.676412582397461, -9.289834022521973, -18.601032257080078, -15.10971450805664, -15.356913566589355)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.037690360099077225, 0.09277626872062683, 0.05081331729888916, 0.037690360099077225, 0.0033570360392332077, 0.037690360099077225, 0.006256294436752796, 0.02075258642435074, 0.027924437075853348, 0.09277626872062683, 0.12512588500976562, 0.12512588500976562, 0.05081331729888916, 0.011291848495602608, 0.05081331729888916)","(0.0157170332968235, 0.02212592028081417, 0.0157170332968235, 0.02212592028081417, 0.0157170332968235, 0.017700735479593277, 0.024872586131095886, 0.0198370311409235, 0.017700735479593277, 0.0070192571729421616, 0.017700735479593277, 0.008850367739796638, 0.014038514345884323, 0.0157170332968235, 0.024872586131095886, 0.027924437075853348, 0.027924437075853348, 0.0198370311409235, 0.011139255948364735, 0.0198370311409235)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 0.0001831110566854477, 4.577776417136192e-05, 4.577776417136192e-05, 0.00022888882085680962, 0.00015259254723787308, 9.155552834272385e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.0001831110566854477, 0.00015259254723787308, 0.00015259254723787308, 7.629627361893654e-05, 3.0518509447574615e-05, 7.629627361893654e-05)","(21.700000762939453, 18.899999618530273, 21.799999237060547, 18.0, 21.5, 20.100000381469727, 17.799999237060547, 19.299999237060547, 20.100000381469727, 28.200000762939453, 20.299999237060547, 26.200000762939453, 22.100000381469727, 21.799999237060547, 17.799999237060547, 16.700000762939453, 16.100000381469727, 19.799999237060547, 24.100000381469727, 19.600000381469727)"
2023/08/08/18:17:30.856783,20,"(1, 1, 1, 1, 1)","(10.020752906799316, 13.499862670898438, 14.461195945739746, 20.119327545166016, 26.981414794921875)","(0.05321158096194267, -0.18005648255348206, -0.04765073210000992, -0.11773661524057388, -0.038063060492277145)","(-0.17094820737838745, 0.04458267614245415, 0.1764131784439087, 0.10565615445375443, 0.1862884759902954)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-25.699636459350586, -28.476821899414062, -40.92837142944336, 5.624561309814453, -38.56013488769531)","(-19.501327514648438, -35.6761360168457, -33.52763366699219, 5.22476863861084, -30.15839195251465)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.27481916546821594, 0.5256813168525696)","(0.00045777764171361923, 0.0035096285864710808, 0.00946073792874813, 0.004272591322660446, 0.021057771518826485)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 3.0518509447574615e-05, 0.0005493331700563431)","(36.5, 25.899999618530273, 20.600000381469727, 24.299999237060547, 16.100000381469727)"
2023/08/08/18:17:30.898096,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.22879695892334, 10.126041412353516, 11.705374717712402, 13.435773849487305, 14.676351547241211, 15.541550636291504, 16.727195739746094, 18.480484008789062, 20.087282180786133, 20.403148651123047, 22.334970474243164, 23.694570541381836, 24.358348846435547, 24.66048240661621, 25.608081817626953, 28.057191848754883, 28.981903076171875)","(-0.5466890931129456, -0.8512894511222839, 0.05445798113942146, -0.06212811917066574, -0.273440420627594, -0.17727605998516083, -0.12358509749174118, -0.8959680199623108, -0.7706571221351624, 0.443909227848053, -0.11476443707942963, -0.5887789726257324, -0.5704665184020996, -0.5548385977745056, 0.8045015931129456, -0.49069708585739136, -0.4512917399406433, -0.42617204785346985)","(0.1881101280450821, -0.046979594975709915, 0.8655750751495361, -0.8773679137229919, 0.4506206214427948, -1.0781338214874268, -0.9752580523490906, -0.07574260979890823, 0.007957768626511097, -0.2792888879776001, 0.6333616375923157, 0.15311512351036072, 0.16816776990890503, 0.1810152530670166, 0.009395918808877468, 0.23815777897834778, 0.27324867248535156, 0.298368364572525)","(0.004577776417136192, 0.0, 0.0, 0.0, -0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, -0.03662221133708954, -0.10071108490228653, 0.0, 0.004577776417136192)","(-28.980377197265625, -25.186925888061523, -22.070985794067383, -39.860225677490234, -34.38520431518555, -27.887813568115234, -37.47367858886719, -5.105746746063232, -16.998809814453125, 12.912381172180176, 7.098605155944824, -12.179937362670898, -10.684530258178711, -11.441389083862305, -0.27466657757759094, -2.8290657997131348, -8.371227264404297, -11.490219116210938)","(-36.179691314697266, -42.38715744018555, -3.469954490661621, -21.658987045288086, -30.18280601501465, -1.2878811359405518, -15.274514198303223, -24.70473289489746, -30.399486541748047, 9.314249038696289, 17.09952163696289, -20.380260467529297, -17.883846282958984, -18.43928337097168, -14.87472152709961, -8.630634307861328, -11.969359397888184, -13.690603256225586)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.05081331729888916, 0.22797326743602753, 0.015259254723787308, 0.09277626872062683, 0.0033570360392332077, 0.037690360099077225, 0.006256294436752796, 0.027924437075853348, 0.027924437075853348, 0.05081331729888916, 0.05081331729888916, 0.006256294436752796, 0.05081331729888916)","(0.01739555038511753, 0.021820735186338425, 0.01739555038511753, 0.027466658502817154, 0.019379254430532455, 0.021820735186338425, 0.03875850886106491, 0.013733329251408577, 0.027466658502817154, 0.007782219909131527, 0.019379254430532455, 0.009765923023223877, 0.01739555038511753, 0.01739555038511753, 0.021820735186338425, 0.021820735186338425, 0.009765923023223877, 0.021820735186338425)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.00013733329251408577, 6.103701889514923e-05, 0.0001831110566854477, 1.5259254723787308e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 6.103701889514923e-05, 0.00012207403779029846, 7.629627361893654e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.5, 19.200000762939453, 21.700000762939453, 17.700000762939453, 21.0, 19.799999237060547, 14.800000190734863, 23.399999618530273, 17.700000762939453, 28.700000762939453, 20.200000762939453, 26.5, 21.399999618530273, 21.200000762939453, 19.100000381469727, 19.100000381469727, 26.299999237060547, 19.700000762939453)"
