time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:03:13.784063,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.965819358825684, 11.600085258483887, 12.153996467590332, 14.163640022277832, 15.610218048095703, 16.68141746520996, 17.427595138549805, 18.599506378173828, 19.913328170776367, 20.581682205200195, 21.419416427612305, 22.42194938659668, 23.351238250732422, 24.779502868652344, 25.077058792114258, 26.41834831237793, 28.27234649658203, 28.936124801635742)","(-0.546880841255188, 0.5935727953910828, -0.057909540832042694, 0.038063060492277145, 0.0592518150806427, 1.0508089065551758, -0.8895442485809326, -0.6610700488090515, 0.4045039117336273, -0.6964485049247742, -0.6676855087280273, -0.6725752353668213, -0.5766984820365906, -0.561549961566925, -0.5239663124084473, -0.5223364233970642, -0.48475271463394165, 1.097692608833313, -0.42214521765708923)","(0.18801425397396088, -0.1490883082151413, -0.8707523941993713, -0.7270331978797913, 0.8730534315109253, 0.16385331749916077, -0.07171578705310822, 0.08926123380661011, -0.31879010796546936, 0.06337451189756393, 0.08408388495445251, 0.08053644746541977, 0.16241517663002014, 0.17602966725826263, 0.20728547871112823, 0.20910713076591492, 0.24381451308727264, 0.18513795733451843, 0.3015322983264923)","(0.004577776417136192, 0.0, 0.004577776417136192, 0.009155552834272385, 0.0, -0.027466658502817154, 0.0, 0.004577776417136192, -0.004577776417136192, 0.0, 0.009155552834272385, 0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.004577776417136192, 0.0, -0.004577776417136192)","(-29.157384872436523, 14.923551559448242, -39.027069091796875, -38.740196228027344, 12.140262603759766, -4.919583797454834, -5.2583394050598145, -5.475020408630371, -25.647754669189453, -9.604174613952637, -12.283699989318848, -16.1687068939209, -16.87673568725586, -11.392560005187988, -10.577714920043945, -8.047731399536133, -10.745567321777344, 6.479079723358154, -15.488143920898438)","(-36.3567008972168, 6.723227500915527, -21.427045822143555, -27.14011001586914, 31.14108657836914, -30.918302536010742, -24.65895652770996, -15.073091506958008, -26.84713363647461, -20.0018310546875, -21.881771087646484, -25.56840705871582, -24.27747344970703, -18.390453338623047, -17.178869247436523, -14.645833015441895, -16.345714569091797, -19.516586303710938, -17.490158081054688)","(0.027924437075853348, 0.0010681478306651115, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.09277626872062683, 0.02075258642435074, 0.0025940733030438423, 0.05081331729888916, 0.05081331729888916, 0.00839259009808302, 0.037690360099077225, 0.06866664439439774, 0.05081331729888916, 0.011291848495602608, 0.006256294436752796, 0.05081331729888916, 0.09277626872062683, 0.06866664439439774)","(0.0198370311409235, 0.005645924247801304, 0.027924437075853348, 0.03509628772735596, 0.02212592028081417, 0.031281471252441406, 0.017700735479593277, 0.0079348124563694, 0.024872586131095886, 0.024872586131095886, 0.012512588873505592, 0.02212592028081417, 0.027924437075853348, 0.024872586131095886, 0.014038514345884323, 0.011139255948364735, 0.024872586131095886, 0.031281471252441406, 0.027924437075853348)","(6.103701889514923e-05, 0.0, 7.629627361893654e-05, 0.00012207403779029846, 4.577776417136192e-05, 0.0003814813680946827, 7.629627361893654e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 0.00010681478306651115, 3.0518509447574615e-05, 7.629627361893654e-05, 0.00010681478306651115, 9.155552834272385e-05, 3.0518509447574615e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 0.0004425183869898319, 9.155552834272385e-05)","(21.700000762939453, 32.29999923706055, 18.5, 16.399999618530273, 20.700000762939453, 17.799999237060547, 22.200000762939453, 29.200000762939453, 19.5, 19.700000762939453, 25.299999237060547, 20.899999618530273, 18.100000381469727, 19.899999618530273, 24.600000381469727, 26.100000381469727, 19.600000381469727, 17.399999618530273, 18.299999237060547)"
2023/08/08/18:03:13.823039,20,"(1, 1, 1)","(14.136173248291016, 26.633502960205078, 28.1807918548584)","(0.05829304829239845, -0.04199400544166565, -0.16394920647144318)","(-0.16577085852622986, 0.1823575347661972, 0.0599229522049427)","(0.0, 0.0, 0.004577776417136192)","(10.721152305603027, -29.13602066040039, -24.353771209716797)","(16.321298599243164, -21.13711929321289, -29.75554656982422)","(0.08148442208766937, 0.3505050837993622, 0.3505050837993622)","(0.00015259254723787308, 0.006408886983990669, 0.006408886983990669)","(0.0, 9.155552834272385e-05, 9.155552834272385e-05)","(36.5, 21.799999237060547, 21.399999618530273)"
2023/08/08/18:03:13.864117,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.970396995544434, 11.581774711608887, 12.153996467590332, 14.163640022277832, 16.594440460205078, 17.464216232299805, 18.640705108642578, 19.885860443115234, 20.792261123657227, 23.09946060180664, 23.31461524963379, 24.958036422729492, 25.621814727783203, 26.610614776611328, 27.30185890197754, 28.611103057861328, 29.187902450561523)","(-0.5474560856819153, 0.5935727953910828, -0.05436210334300995, 0.033556852489709854, 0.0592518150806427, -0.8868597149848938, -0.6583854556083679, 0.8590554594993591, -0.6991330981254578, -0.6547421813011169, -0.5728634595870972, -0.5685489773750305, -0.5154332518577576, -0.5231992602348328, -0.4819723069667816, -0.45934540033340454, -0.45023709535598755, -0.42866483330726624)","(0.1875348687171936, -0.1490883082151413, -0.8653833270072937, 0.8413182497024536, 0.8730534315109253, -0.06999000906944275, 0.0911787673830986, 0.4096812605857849, 0.06049821525812149, 0.09386331588029861, 0.16615436971187592, 0.16979767382144928, 0.21533912420272827, 0.208340123295784, 0.2455402910709381, 0.2661537826061249, 0.2742074429988861, 0.29597145318984985)","(0.0, 0.0, -0.004577776417136192, 0.0, 0.0, 0.0, -0.013733329251408577, 0.009155552834272385, 0.0, 0.004577776417136192, 0.009155552834272385, 0.0, 0.0, 0.013733329251408577, -0.004577776417136192, 0.0, 0.009155552834272385, 0.009155552834272385)","(-29.30082130432129, 14.923551559448242, -38.55708312988281, -39.43907165527344, 12.222662925720215, -5.5024871826171875, -11.267434120178223, -9.305093765258789, -10.174871444702148, -10.028382301330566, -11.966307640075684, -11.001922607421875, -9.387493133544922, -11.004974365234375, -9.070100784301758, -13.782158851623535, -8.996856689453125, -11.55735969543457)","(-36.50318908691406, 6.726279258728027, -20.957059860229492, -22.641681671142578, 31.220436096191406, -24.500259399414062, -20.86855697631836, -23.10556411743164, -20.975372314453125, -19.8309268951416, -19.165624618530273, -18.20123863220215, -15.585803031921387, -17.603076934814453, -14.270455360412598, -17.78008270263672, -12.598040580749512, -14.157536506652832)","(0.027924437075853348, 0.0010681478306651115, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.027924437075853348, 0.006256294436752796, 0.037690360099077225, 0.037690360099077225, 0.006256294436752796, 0.037690360099077225, 0.037690360099077225, 0.015259254723787308, 0.02075258642435074, 0.027924437075853348, 0.011291848495602608, 0.006256294436752796, 0.05081331729888916)","(0.0158696249127388, 0.004425183869898319, 0.02227851189672947, 0.028077028691768646, 0.017700735479593277, 0.0158696249127388, 0.008850367739796638, 0.017700735479593277, 0.017700735479593277, 0.008850367739796638, 0.017700735479593277, 0.017700735479593277, 0.012512588873505592, 0.014038514345884323, 0.0158696249127388, 0.011139255948364735, 0.008850367739796638, 0.0198370311409235)","(6.103701889514923e-05, 0.0, 7.629627361893654e-05, 0.00012207403779029846, 4.577776417136192e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 0.00010681478306651115, 7.629627361893654e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 6.103701889514923e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.299999237060547, 32.5, 18.299999237060547, 16.5, 20.799999237060547, 21.799999237060547, 26.600000381469727, 20.600000381469727, 20.299999237060547, 26.200000762939453, 20.799999237060547, 20.399999618530273, 23.399999618530273, 22.700000762939453, 21.600000381469727, 24.799999237060547, 26.5, 19.799999237060547)"
2023/08/08/18:03:13.893113,20,"(1, 1, 1)","(14.122440338134766, 26.569414138793945, 28.27692413330078)","(0.05838892608880997, -0.04247339069843292, -0.16778427362442017)","(-0.16557911038398743, 0.18187814950942993, 0.056087885051965714)","(0.0, 0.0, 0.0)","(10.708945274353027, -28.775901794433594, -25.006866455078125)","(16.309091567993164, -20.773948669433594, -30.808435440063477)","(0.08148442208766937, 0.3505050837993622, 0.3505050837993622)","(0.00015259254723787308, 0.007782219909131527, 0.007782219909131527)","(0.0, 9.155552834272385e-05, 9.155552834272385e-05)","(36.5, 22.0, 21.200000762939453)"
2023/08/08/18:03:13.934271,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.961241722106934, 11.57719612121582, 14.163640022277832, 17.31772804260254, 18.059328079223633, 18.68648338317871, 20.128482818603516, 20.998260498046875, 21.8405704498291, 22.737815856933594, 23.429059982299805, 24.358348846435547, 24.971771240234375, 25.621814727783203, 26.573991775512695, 27.30185890197754, 28.26776885986328, 28.757591247558594)","(-0.5486066341400146, 0.5934769511222839, -0.0527321994304657, 0.0592518150806427, -0.6541668772697449, -0.7323064208030701, 0.4044080376625061, -0.686669111251831, -0.6708494424819946, 0.11764074116945267, -0.7118846774101257, -0.563850998878479, -0.6096801161766052, -0.5114064812660217, -0.536430299282074, -0.47564443945884705, -0.47900012135505676, -0.15225224196910858, -0.42866483330726624)","(0.18657611310482025, -0.1491841822862625, -0.8628905415534973, 0.8730534315109253, 0.09472620487213135, 0.03403623774647713, -0.3188859820365906, 0.06989413499832153, 0.08159109205007553, -0.6276090145111084, 0.04966414347290993, 0.17363275587558746, 0.13336452841758728, 0.218694806098938, 0.19702666997909546, 0.2507176399230957, 0.24822483956813812, 0.590888261795044, 0.29597145318984985)","(0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009155552834272385, 0.004577776417136192, 0.004577776417136192, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, -0.009155552834272385, 0.009155552834272385, -0.004577776417136192)","(-29.715871810913086, 14.920498847961426, -39.008758544921875, 12.213507652282715, -5.526902198791504, -20.1849422454834, -27.274391174316406, -8.33460521697998, -12.137210845947266, -28.43409538269043, -17.28263282775879, -10.162663459777832, -20.45960807800293, -8.33765697479248, -14.755699157714844, -10.217597007751465, -17.83196449279785, -21.179845809936523, -12.408825874328613)","(-36.91518783569336, 6.720175743103027, -21.408735275268555, 31.214330673217773, -15.326395034790039, -31.9864501953125, -28.473770141601562, -18.134098052978516, -21.73833465576172, -19.434186935424805, -28.482925415039062, -17.361980438232422, -29.261146545410156, -14.539017677307129, -21.955015182495117, -15.018158912658691, -22.833948135375977, -13.180944442749023, -15.009002685546875)","(0.027924437075853348, 0.0010681478306651115, 0.09277626872062683, 0.037690360099077225, 0.0033570360392332077, 0.09277626872062683, 0.09277626872062683, 0.011291848495602608, 0.00839259009808302, 0.12512588500976562, 0.12512588500976562, 0.037690360099077225, 0.12512588500976562, 0.015259254723787308, 0.037690360099077225, 0.015259254723787308, 0.09277626872062683, 0.06866664439439774, 0.05081331729888916)","(0.01739555038511753, 0.0048829615116119385, 0.027466658502817154, 0.019531846046447754, 0.007782219909131527, 0.027466658502817154, 0.027466658502817154, 0.01235999632626772, 0.010986663401126862, 0.03082369454205036, 0.03082369454205036, 0.019531846046447754, 0.03082369454205036, 0.01388592179864645, 0.019531846046447754, 0.01388592179864645, 0.027466658502817154, 0.02456740103662014, 0.021820735186338425)","(6.103701889514923e-05, 0.0, 9.155552834272385e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 0.00016785180196166039, 0.00010681478306651115, 3.0518509447574615e-05, 3.0518509447574615e-05, 0.00012207403779029846, 0.000198370311409235, 6.103701889514923e-05, 0.00016785180196166039, 3.0518509447574615e-05, 6.103701889514923e-05, 3.0518509447574615e-05, 0.00012207403779029846, 7.629627361893654e-05, 7.629627361893654e-05)","(21.299999237060547, 32.5, 17.5, 20.799999237060547, 28.299999237060547, 17.899999618530273, 17.799999237060547, 24.5, 25.799999237060547, 16.700000762939453, 16.200000762939453, 20.600000381469727, 16.5, 23.200000762939453, 20.100000381469727, 23.200000762939453, 17.700000762939453, 18.899999618530273, 19.399999618530273)"
2023/08/08/18:03:13.973381,20,"(1, 1, 1)","(14.127017974853516, 26.523635864257812, 28.400524139404297)","(0.05829304829239845, -0.04324040189385414, -0.16548322141170502)","(-0.16577085852622986, 0.18111112713813782, 0.05829304829239845)","(0.0, 0.009155552834272385, 0.0)","(10.711997032165527, -28.89492416381836, -24.71693992614746)","(16.312143325805664, -21.09439468383789, -30.317087173461914)","(0.08148442208766937, 0.3231910169124603, 0.3505050837993622)","(0.00015259254723787308, 0.005798516795039177, 0.0070192571729421616)","(0.0, 6.103701889514923e-05, 9.155552834272385e-05)","(36.5, 22.200000762939453, 21.5)"
2023/08/08/18:03:14.014131,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.304086685180664, 9.961241722106934, 11.632129669189453, 12.1082181930542, 14.163640022277832, 15.880306243896484, 17.198705673217773, 17.857906341552734, 20.073549270629883, 20.998260498046875, 22.26172637939453, 22.595905303955078, 23.937192916870117, 25.15488052368164, 26.500747680664062, 27.72759246826172, 28.24030303955078, 29.398479461669922)","(-0.5487024784088135, 0.5935727953910828, -0.05282807722687721, 0.038063060492277145, 0.059347692877054214, 1.04160475730896, -0.632594645023346, -0.7793818712234497, -0.6869567632675171, -0.6906000375747681, -0.6022017002105713, -0.6001883149147034, -0.5376766920089722, -0.5226240158081055, -0.477945476770401, -0.49309399724006653, -1.0484119653701782, -0.4278978109359741)","(0.18648022413253784, -0.1490883082151413, 0.715336263179779, -0.7270331978797913, 0.8732452392578125, 0.5383478403091431, 0.1133262887597084, 0.0019175345078110695, 0.06960650533437729, 0.06692195683717728, 0.1399800181388855, 0.14237692952156067, 0.1959720253944397, 0.20881950855255127, 0.24860835075378418, 0.23595261573791504, -0.5411282181739807, 0.29673847556114197)","(0.0, 0.0, 0.0, 0.0, 0.0, -0.4760887622833252, 0.03662221133708954, -0.004577776417136192, 0.0, -0.004577776417136192, 0.0, 0.0, 0.009155552834272385, 0.0, 0.004577776417136192, 0.032044436782598495, 0.0, 0.0)","(-28.946805953979492, 14.923551559448242, -38.90499496459961, -40.3820915222168, 12.186040878295898, -5.236976146697998, -8.374279022216797, -15.948972702026367, -9.13724136352539, -15.866573333740234, -11.142308235168457, -9.051790237426758, -8.145390510559082, -7.82189416885376, -9.054841995239258, -16.24195098876953, 4.675435543060303, -10.177923202514648)","(-36.146121978759766, 6.723227500915527, -27.506332397460938, -28.782007217407227, 31.186864852905273, -24.43617057800293, -17.57560920715332, -29.950864791870117, -19.13510513305664, -26.065858840942383, -19.940793991088867, -17.651905059814453, -15.347758293151855, -14.42304801940918, -13.855402946472168, -22.043519973754883, -13.324380874633789, -12.576677322387695)","(0.027924437075853348, 0.0010681478306651115, 0.09277626872062683, 0.16891995072364807, 0.037690360099077225, 0.09277626872062683, 0.09277626872062683, 0.12512588500976562, 0.011291848495602608, 0.05081331729888916, 0.011291848495602608, 0.006256294436752796, 0.027924437075853348, 0.006256294436752796, 0.02075258642435074, 0.09277626872062683, 0.05081331729888916, 0.05081331729888916)","(0.01907406933605671, 0.005340739153325558, 0.030365917831659317, 0.03814813867211342, 0.02151555009186268, 0.030365917831659317, 0.030365917831659317, 0.03402813896536827, 0.013580736704170704, 0.024109622463583946, 0.013580736704170704, 0.010834070853888988, 0.01907406933605671, 0.010834070853888988, 0.017090365290641785, 0.030365917831659317, 0.024109622463583946, 0.024109622463583946)","(6.103701889514923e-05, 0.0, 9.155552834272385e-05, 0.00013733329251408577, 4.577776417136192e-05, 0.0003662221133708954, 0.00013733329251408577, 0.00022888882085680962, 3.0518509447574615e-05, 0.00010681478306651115, 3.0518509447574615e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.0002441480755805969, 7.629627361893654e-05)","(21.899999618530273, 32.29999923706055, 17.899999618530273, 15.5, 20.700000762939453, 17.200000762939453, 17.100000381469727, 16.5, 24.200000762939453, 19.899999618530273, 24.899999618530273, 26.700000762939453, 21.700000762939453, 26.600000381469727, 22.200000762939453, 17.399999618530273, 19.799999237060547, 19.799999237060547)"
2023/08/08/18:03:14.044661,20,"(1, 1, 1)","(14.131595611572266, 26.509902954101562, 28.295236587524414)","(0.05829304829239845, -0.04343215748667717, -0.16644199192523956)","(-0.16567498445510864, 0.18091937899589539, 0.057526033371686935)","(0.0, 0.0, 0.009155552834272385)","(10.715048789978027, -28.89492416381836, -24.65895652770996)","(16.315195083618164, -21.09744644165039, -30.25910186767578)","(0.08148442208766937, 0.3231910169124603, 0.3505050837993622)","(0.00015259254723787308, 0.005340739153325558, 0.006561479531228542)","(0.0, 6.103701889514923e-05, 9.155552834272385e-05)","(36.5, 22.0, 21.899999618530273)"
2023/08/08/18:03:14.084233,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.281197547912598, 9.961241722106934, 11.590929985046387, 12.153996467590332, 14.163640022277832, 17.13003921508789, 18.471328735351562, 20.1605281829834, 20.503860473632812, 21.419416427612305, 22.22510528564453, 23.603015899658203, 24.358348846435547, 25.200658798217773, 26.628925323486328, 27.30185890197754, 28.27692413330078, 28.501235961914062, 29.659414291381836)","(-0.5493736267089844, 0.5936686992645264, -0.052252814173698425, 0.0371042937040329, 0.059347692877054214, -0.6394977569580078, -0.7359497547149658, -0.6860938668251038, -0.6789031028747559, -0.7064197063446045, -0.5941480398178101, -0.5666314363479614, -0.541991114616394, -0.5157209038734436, -0.4850403666496277, -0.48667025566101074, 1.102294683456421, -0.44103294610977173, -0.4264596700668335)","(0.18571321666240692, -0.14899243414402008, -0.862027645111084, -0.7281837463378906, 0.8731493353843689, 0.10728605836629868, 0.03183107450604439, 0.070277638733387, 0.07535910606384277, 0.054266225546598434, 0.14765015244483948, 0.17142757773399353, 0.1921369582414627, 0.21505150198936462, 0.2435268759727478, 0.24208873510360718, 0.18705548346042633, 0.28350746631622314, 0.2980807423591614)","(0.0, 0.0, -0.009155552834272385, 0.004577776417136192, 0.0, 0.03662221133708954, 0.009155552834272385, 0.009155552834272385, 0.004577776417136192, -0.02288888208568096, -0.004577776417136192, -0.004577776417136192, 0.009155552834272385, -0.009155552834272385, 0.0, 0.004577776417136192, 0.0, 0.0, 0.009155552834272385)","(-28.733177185058594, 14.941862106323242, -38.83785629272461, -39.6191291809082, 12.182989120483398, -7.7272868156433105, -19.891963958740234, -12.750633239746094, -11.758781433105469, -20.2002010345459, -15.707877159118652, -7.254249572753906, -11.404767036437988, -15.967284202575684, -7.751701354980469, -15.970335960388184, 7.333597660064697, -13.031403541564941, -13.443403244018555)","(-35.932491302490234, 6.7415385246276855, -21.237831115722656, -28.01904296875, 31.180761337280273, -17.32840919494629, -31.690420150756836, -22.550127029418945, -21.359905242919922, -31.400493621826172, -24.109622955322266, -14.453566551208496, -18.604084014892578, -22.16559410095215, -13.351847648620605, -21.57048225402832, -18.66512107849121, -16.23279571533203, -15.64378833770752)","(0.027924437075853348, 0.0010681478306651115, 0.09277626872062683, 0.16891995072364807, 0.037690360099077225, 0.02075258642435074, 0.12512588500976562, 0.015259254723787308, 0.011291848495602608, 0.16891995072364807, 0.027924437075853348, 0.02075258642435074, 0.027924437075853348, 0.037690360099077225, 0.06866664439439774, 0.09277626872062683, 0.06866664439439774, 0.027924437075853348, 0.05081331729888916)","(0.015564439818263054, 0.004425183869898319, 0.02471999265253544, 0.03097628802061081, 0.01754814386367798, 0.01388592179864645, 0.0276192519813776, 0.01235999632626772, 0.010986663401126862, 0.03097628802061081, 0.015564439818263054, 0.01388592179864645, 0.015564439818263054, 0.01754814386367798, 0.021973326802253723, 0.02471999265253544, 0.021973326802253723, 0.015564439818263054, 0.019531846046447754)","(6.103701889514923e-05, 0.0, 9.155552834272385e-05, 0.00013733329251408577, 4.577776417136192e-05, 4.577776417136192e-05, 0.0002136295661330223, 4.577776417136192e-05, 3.0518509447574615e-05, 0.00025940733030438423, 6.103701889514923e-05, 4.577776417136192e-05, 6.103701889514923e-05, 6.103701889514923e-05, 9.155552834272385e-05, 0.00012207403779029846, 0.0003662221133708954, 4.577776417136192e-05, 7.629627361893654e-05)","(21.5, 32.400001525878906, 17.299999237060547, 15.899999618530273, 20.799999237060547, 23.0, 16.799999237060547, 23.600000381469727, 24.700000762939453, 15.800000190734863, 21.799999237060547, 22.0, 21.299999237060547, 20.5, 19.0, 17.5, 18.100000381469727, 21.899999618530273, 19.799999237060547)"
2023/08/08/18:03:14.123257,20,"(1, 1, 1)","(14.127017974853516, 26.65639305114746, 28.299814224243164)","(0.05829304829239845, -0.0436239093542099, -0.16720901429653168)","(-0.16567498445510864, 0.18072763085365295, 0.05675902217626572)","(0.0, 0.0, 0.0)","(10.727255821228027, -28.943754196166992, -24.991607666015625)","(16.327402114868164, -21.14322280883789, -30.790124893188477)","(0.08148442208766937, 0.3231910169124603, 0.3505050837993622)","(0.00015259254723787308, 0.006408886983990669, 0.0079348124563694)","(0.0, 6.103701889514923e-05, 9.155552834272385e-05)","(36.5, 22.200000762939453, 21.299999237060547)"
2023/08/08/18:03:14.155305,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.299509048461914, 9.961241722106934, 11.595507621765137, 12.067018508911133, 14.163640022277832, 16.576128005981445, 17.349773406982422, 18.649860382080078, 19.711904525756836, 20.581682205200195, 21.419416427612305, 22.476882934570312, 23.941770553588867, 24.152347564697266, 26.134525299072266, 26.88070297241211, 28.125858306884766, 29.348125457763672)","(-0.5473602414131165, 0.5936686992645264, -0.04161049798130989, 0.03240633383393288, 0.0592518150806427, -0.8808194994926453, -0.6506194472312927, -0.7336487174034119, 0.03767955303192139, -0.719938337802887, -0.7770808339118958, -0.6023934483528137, -0.5544551014900208, -0.5490860342979431, -0.48532798886299133, -0.4699877202510834, 0.23393921554088593, -0.4199400544166565)","(0.1875348687171936, -0.14899243414402008, 0.7316352725028992, 0.8400718569755554, 0.8730534315109253, -0.06519617140293121, 0.09750662744045258, -0.3260767459869385, -0.7275125980377197, 0.04381566494703293, 0.0036433155182749033, 0.13988414406776428, 0.18130289018154144, 0.18609672784805298, 0.24333512783050537, 0.25560733675956726, 1.216963291168213, 0.3028745651245117)","(0.0, 0.0, -0.004577776417136192, -0.009155552834272385, 0.0, 0.0, -0.013733329251408577, 0.0, 0.027466658502817154, -0.009155552834272385, 0.0, 0.0, -0.004577776417136192, -0.009155552834272385, 0.0, 0.0, -0.004577776417136192, 0.004577776417136192)","(-28.84609603881836, 14.941862106323242, -39.017913818359375, -39.45127868652344, 12.207404136657715, -5.688650131225586, -15.363018035888672, -14.34064769744873, -27.280494689941406, -19.626453399658203, -16.528823852539062, -11.322366714477539, -11.633655548095703, -10.77913761138916, -9.784234046936035, -11.282692909240723, -15.781121253967285, -15.979491233825684)","(-36.04541015625, 6.7415385246276855, -27.216405868530273, -22.84920883178711, 31.205175399780273, -24.488052368164062, -25.162511825561523, -22.739341735839844, -15.680410385131836, -31.028167724609375, -30.530715942382812, -20.123905181884766, -18.634601593017578, -17.97845458984375, -15.384380340576172, -15.482039451599121, 13.614307403564453, -17.97845458984375)","(0.027924437075853348, 0.0010681478306651115, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.06866664439439774, 0.05081331729888916, 0.037690360099077225, 0.05081331729888916, 0.22797326743602753, 0.12512588500976562, 0.011291848495602608, 0.027924437075853348, 0.027924437075853348, 0.06866664439439774, 0.011291848495602608, 0.02075258642435074, 0.09277626872062683)","(0.01754814386367798, 0.0050355540588498116, 0.02471999265253544, 0.031128879636526108, 0.0196844395250082, 0.02471999265253544, 0.02212592028081417, 0.0196844395250082, 0.02212592028081417, 0.039216283708810806, 0.031128879636526108, 0.012512588873505592, 0.01754814386367798, 0.01754814386367798, 0.02471999265253544, 0.012512588873505592, 0.0157170332968235, 0.0277718435972929)","(6.103701889514923e-05, 0.0, 7.629627361893654e-05, 0.00012207403779029846, 4.577776417136192e-05, 0.0001831110566854477, 9.155552834272385e-05, 9.155552834272385e-05, 6.103701889514923e-05, 0.00025940733030438423, 0.00022888882085680962, 3.0518509447574615e-05, 6.103701889514923e-05, 6.103701889514923e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 0.00010681478306651115)","(21.600000381469727, 32.20000076293945, 18.5, 16.5, 20.700000762939453, 18.799999237060547, 19.700000762939453, 20.200000762939453, 19.299999237060547, 14.800000190734863, 16.399999618530273, 24.399999618530273, 21.200000762939453, 21.700000762939453, 18.5, 24.399999618530273, 22.299999237060547, 17.700000762939453)"
2023/08/08/18:03:14.193210,20,"(1, 1, 1)","(14.122440338134766, 26.601459503173828, 28.313547134399414)","(0.05838892608880997, -0.04381566494703293, -0.1666337549686432)","(-0.16567498445510864, 0.1804399937391281, 0.05723840370774269)","(0.0, 0.0, 0.0)","(10.742515563964844, -29.371013641357422, -24.84817123413086)","(16.342660903930664, -21.57048225402832, -30.44831657409668)","(0.08148442208766937, 0.3505050837993622, 0.3505050837993622)","(0.00015259254723787308, 0.0070192571729421616, 0.0070192571729421616)","(0.0, 9.155552834272385e-05, 9.155552834272385e-05)","(36.5, 21.399999618530273, 21.799999237060547)"
